# x_m, y_m, w_tr_right_m, w_tr_left_m
-8.974743, 3.585356, 0.759029, 0.759029
-8.828350, 3.617589, 0.759052, 0.759052
-8.680398, 3.641310, 0.759123, 0.759123
-8.531322, 3.656000, 0.759242, 0.759242
-8.381930, 3.654742, 0.759411, 0.759411
-8.232708, 3.650620, 0.759631, 0.759631
-8.083590, 3.665830, 0.759902, 0.759902
-7.934745, 3.683501, 0.760226, 0.760226
-7.785284, 3.694960, 0.760602, 0.760602
-7.635409, 3.696261, 0.761032, 0.761032
-7.488930, 3.667889, 0.761515, 0.761515
-7.340945, 3.659323, 0.762053, 0.762053
-7.191227, 3.665367, 0.762643, 0.762643
-7.043617, 3.651746, 0.763287, 0.763287
-6.900119, 3.610861, 0.763985, 0.763985
-6.750229, 3.609080, 0.764735, 0.764735
-6.603601, 3.578388, 0.765538, 0.765538
-6.455281, 3.557301, 0.766392, 0.766392
-6.310838, 3.519617, 0.767298, 0.767298
-6.167343, 3.476443, 0.768253, 0.768253
-6.028516, 3.423248, 0.769258, 0.769258
-5.896507, 3.353773, 0.770311, 0.770311
-5.753025, 3.310753, 0.771411, 0.771411
-5.617437, 3.246832, 0.772557, 0.772557
-5.478310, 3.191101, 0.773748, 0.773748
-5.341204, 3.130594, 0.774982, 0.774982
-5.210391, 3.057931, 0.776258, 0.776258
-5.079638, 2.984881, 0.777574, 0.777574
-4.940380, 2.936593, 0.778930, 0.778930
-4.793120, 2.915650, 0.780324, 0.780324
-4.656201, 2.854662, 0.781754, 0.781754
-4.514751, 2.805045, 0.783218, 0.783218
-4.377116, 2.745770, 0.784716, 0.784716
-4.238121, 2.689710, 0.786246, 0.786246
-4.094682, 2.647543, 0.787806, 0.787806
-3.953821, 2.599156, 0.789395, 0.789395
-3.816012, 2.541464, 0.791011, 0.791011
-3.673687, 2.495600, 0.792653, 0.792653
-3.538820, 2.430291, 0.794320, 0.794320
-3.397253, 2.381009, 0.796010, 0.796010
-3.249976, 2.353993, 0.797722, 0.797722
-3.115437, 2.291596, 0.799455, 0.799455
-2.986260, 2.215575, 0.801208, 0.801208
-2.850388, 2.154581, 0.802979, 0.802979
-2.710649, 2.101104, 0.804768, 0.804768
-2.572718, 2.043192, 0.806574, 0.806574
-2.431206, 1.995012, 0.808395, 0.808395
-2.299980, 1.922604, 0.810232, 0.810232
-2.161441, 1.865359, 0.812083, 0.812083
-2.023163, 1.807488, 0.813948, 0.813948
-1.896834, 1.727949, 0.815826, 0.815826
-1.764614, 1.658993, 0.817717, 0.817717
-1.628730, 1.595903, 0.819622, 0.819622
-1.492214, 1.534659, 0.821539, 0.821539
-1.355292, 1.476083, 0.823468, 0.823468
-1.231546, 1.392153, 0.825411, 0.825411
-1.089854, 1.343231, 0.827366, 0.827366
-0.953237, 1.281704, 0.829334, 0.829334
-0.815952, 1.221540, 0.831315, 0.831315
-0.675407, 1.169822, 0.833311, 0.833311
-0.533581, 1.121326, 0.835321, 0.835321
-0.390786, 1.076400, 0.837346, 0.837346
-0.245888, 1.038604, 0.839387, 0.839387
-0.105374, 0.986589, 0.841445, 0.841445
0.026804, 0.915887, 0.843520, 0.843520
0.160884, 0.848873, 0.845614, 0.845614
0.296275, 0.784553, 0.847727, 0.847727
0.426155, 0.710305, 0.849862, 0.849862
0.557903, 0.639777, 0.852018, 0.852018
0.697820, 0.586954, 0.854197, 0.854197
0.840617, 0.542456, 0.856401, 0.856401
0.976904, 0.480092, 0.858631, 0.858631
1.116931, 0.426592, 0.860887, 0.860887
1.259784, 0.381233, 0.863173, 0.863173
1.396955, 0.321417, 0.865488, 0.865488
1.526273, 0.246271, 0.867835, 0.867835
1.661737, 0.190732, 0.870215, 0.870215
