# x_m, y_m, w_tr_right_m, w_tr_left_m
-3.576735, -2.189273, 1.059149, 1.059149
-3.450406, -2.108343, 1.055651, 1.055651
-3.312203, -2.050255, 1.051331, 1.051331
-3.177787, -1.983705, 1.045432, 1.045432
-3.049740, -1.905681, 1.036808, 1.036808
-2.921922, -1.827128, 1.023890, 1.023890
-2.792107, -1.751944, 1.004773, 1.004773
-2.662754, -1.675953, 0.977498, 0.977498
-2.537810, -1.593069, 0.940552, 0.940552
-2.411968, -1.511500, 0.893537, 0.893537
-2.278466, -1.443954, 0.837848, 0.837848
-2.144961, -1.376218, 0.777094, 0.777094
-2.015482, -1.300432, 0.717012, 0.717012
-1.887862, -1.221715, 0.664704, 0.664704
-1.761837, -1.140407, 0.627302, 0.627302
-1.630650, -1.068008, 0.610353, 0.610353
-1.498820, -0.997910, 0.616452, 0.616452
-1.378340, -0.908595, 0.644567, 0.644567
-1.252591, -0.826847, 0.690308, 0.690308
-1.124266, -0.749538, 0.747030, 0.747030
-1.008409, -0.654219, 0.807409, 0.807409
-0.892762, -0.558652, 0.864952, 0.864952
-0.772679, -0.468714, 0.915047, 0.915047
-0.652282, -0.379198, 0.955340, 0.955340
-0.531412, -0.290321, 0.985506, 0.985506
-0.418948, -0.191151, 1.006652, 1.006652
-0.293492, -0.109606, 1.020614, 1.020614
-0.156138, -0.050230, 1.029365, 1.029365
-0.027319, 0.025267, 1.034639, 1.034639
0.097576, 0.108392, 1.037763, 1.037763
0.231520, 0.174363, 1.039650, 1.039650
0.372561, 0.225303, 1.040870, 1.040870
0.517499, 0.262911, 1.041749, 1.041749
0.666054, 0.277358, 1.042458, 1.042458
0.815882, 0.271626, 1.043078, 1.043078
0.965618, 0.265807, 1.043643, 1.043643
1.115562, 0.270489, 1.044164, 1.044164
1.265453, 0.274485, 1.044639, 1.044639
1.415201, 0.267356, 1.045065, 1.045065
1.564383, 0.251914, 1.045436, 1.045436
1.714246, 0.245157, 1.045746, 1.045746
1.864223, 0.244587, 1.045988, 1.045988
2.013830, 0.255206, 1.046157, 1.046157
2.163742, 0.249292, 1.046248, 1.046248
2.312859, 0.232778, 1.046255, 1.046255
2.462806, 0.228799, 1.046174, 1.046174
2.609317, 0.197841, 1.046001, 1.046001
2.754453, 0.159878, 1.045732, 1.045732
2.903145, 0.143154, 1.045364, 1.045364
3.053065, 0.139659, 1.044895, 1.044895
3.202962, 0.134123, 1.044320, 1.044320
3.349092, 0.104292, 1.043640, 1.043640
3.496493, 0.079926, 1.042852, 1.042852
3.642137, 0.047883, 1.041955, 1.041955
3.774049, -0.019750, 1.040948, 1.040948
3.883221, -0.120774, 1.039832, 1.039832
3.966790, -0.244355, 1.038607, 1.038607
4.027362, -0.381205, 1.037273, 1.037273
4.070662, -0.524671, 1.035830, 1.035830
4.099123, -0.671747, 1.034282, 1.034282
4.112074, -0.821138, 1.032628, 1.032628
4.113283, -0.971023, 1.030871, 1.030871
4.099389, -1.120351, 1.029014, 1.029014
4.075859, -1.268517, 1.027059, 1.027059
4.056476, -1.417283, 1.025008, 1.025008
4.031557, -1.565228, 1.022865, 1.022865
4.004651, -1.712824, 1.020633, 1.020633
3.979050, -1.860652, 1.018315, 1.018315
3.968901, -2.010243, 1.015916, 1.015916
3.979179, -2.159709, 1.013437, 1.013437
4.012581, -2.305626, 1.010885, 1.010885
4.084874, -2.435390, 1.008261, 1.008261
4.186111, -2.545090, 1.005570, 1.005570
4.307816, -2.631471, 1.002816, 1.002816
4.445245, -2.689124, 1.000003, 1.000003
4.591672, -2.718720, 0.997135, 0.997135
4.740316, -2.738938, 0.994215, 0.994215
4.889270, -2.756026, 0.991246, 0.991246
5.039048, -2.762873, 0.988234, 0.988234
5.189075, -2.763055, 0.985180, 0.985180
5.338151, -2.772368, 0.982088, 0.982088
5.486048, -2.796261, 0.978962, 0.978962
5.635476, -2.809362, 0.975804, 0.975804
5.784237, -2.828682, 0.972617, 0.972617
5.932468, -2.851693, 0.969403, 0.969403
6.081477, -2.869062, 0.966164, 0.966164
6.229787, -2.889907, 0.962902, 0.962902
6.378932, -2.873717, 0.959620, 0.959620
6.524652, -2.838019, 0.956318, 0.956318
6.653376, -2.761409, 0.952998, 0.952998
6.764852, -2.661330, 0.949660, 0.949660
6.852236, -2.539903, 0.946305, 0.946305
6.902497, -2.399528, 0.942933, 0.942933
6.927805, -2.251965, 0.939544, 0.939544
6.939996, -2.102513, 0.936138, 0.936138
6.943684, -1.952576, 0.932714, 0.932714
6.954803, -1.803141, 0.929272, 0.929272
6.969676, -1.653858, 0.925811, 0.925811
6.984789, -1.504597, 0.922328, 0.922328
6.998780, -1.355239, 0.918823, 0.918823
7.010437, -1.205664, 0.915294, 0.915294
7.023137, -1.056181, 0.911738, 0.911738
7.034388, -0.906635, 0.908155, 0.908155
7.042495, -0.756877, 0.904540, 0.904540
7.054048, -0.607351, 0.900893, 0.900893
7.059266, -0.457420, 0.897210, 0.897210
7.067017, -0.307592, 0.893489, 0.893489
7.074829, -0.157780, 0.889727, 0.889727
7.088388, -0.008365, 0.885921, 0.885921
7.102176, 0.141027, 0.882070, 0.882070
7.110899, 0.290802, 0.878169, 0.878169
7.127349, 0.439919, 0.874218, 0.874218
7.142484, 0.589181, 0.870212, 0.870212
7.156813, 0.738524, 0.866149, 0.866149
7.165734, 0.888266, 0.862027, 0.862027
7.162546, 1.038142, 0.857843, 0.857843
7.148953, 1.187487, 0.853591, 0.853591
7.117439, 1.333775, 0.849262, 0.849262
7.057871, 1.470413, 0.844835, 0.844835
6.968135, 1.589173, 0.840267, 0.840267
6.845153, 1.668929, 0.835469, 0.835469
6.701556, 1.709337, 0.830268, 0.830268
6.553551, 1.733865, 0.824355, 0.824355
6.405059, 1.755147, 0.817214, 0.817214
6.255868, 1.770401, 0.808062, 0.808062
6.106114, 1.779398, 0.795817, 0.795817
5.956379, 1.788412, 0.779159, 0.779159
5.807016, 1.802450, 0.756717, 0.756717
5.657810, 1.817891, 0.727420, 0.727420
5.508126, 1.827941, 0.690969, 0.690969
5.358711, 1.841273, 0.648309, 0.648309
5.208833, 1.847225, 0.601944, 0.601944
5.060464, 1.869474, 0.555871, 0.555871
4.912922, 1.896670, 0.515055, 0.515055
4.763138, 1.903511, 0.484476, 0.484476
4.613564, 1.893181, 0.467998, 0.467998
4.463946, 1.882104, 0.467404, 0.467404
4.314176, 1.873351, 0.481933, 0.481933
4.164207, 1.870487, 0.508482, 0.508482
4.014180, 1.870387, 0.542402, 0.542402
3.864829, 1.881989, 0.578608, 0.578608
3.716981, 1.906793, 0.612639, 0.612639
3.569155, 1.932124, 0.641370, 0.641370
3.420045, 1.947230, 0.663261, 0.663261
3.270149, 1.950889, 0.678170, 0.678170
3.120232, 1.953369, 0.686930, 0.686930
2.970501, 1.962776, 0.690849, 0.690849
2.820857, 1.973509, 0.691311, 0.691311
2.671428, 1.986486, 0.689520, 0.689520
2.522313, 2.002136, 0.686392, 0.686392
2.372374, 2.006402, 0.682557, 0.682557
2.222378, 2.005339, 0.678414, 0.678414
2.072494, 2.011854, 0.674196, 0.674196
1.922503, 2.014917, 0.670032, 0.670032
1.772930, 2.026591, 0.665995, 0.665995
1.626716, 2.060134, 0.663764, 0.663764
1.477519, 2.075282, 0.663768, 0.663768
1.328846, 2.095306, 0.663770, 0.663770
1.179480, 2.109093, 0.663770, 0.663770
1.029798, 2.119210, 0.663770, 0.663770
0.880988, 2.137600, 0.663770, 0.663770
0.734362, 2.168711, 0.663770, 0.663770
0.588490, 2.203782, 0.663770, 0.663770
0.441919, 2.235708, 0.663770, 0.663770
0.294611, 2.264114, 0.663770, 0.663770
0.147291, 2.292470, 0.663770, 0.663770
-0.000911, 2.314268, 0.663770, 0.663770
-0.150339, 2.315734, 0.663770, 0.663770
-0.299911, 2.304771, 0.663770, 0.663770
-0.449798, 2.303504, 0.663770, 0.663770
-0.599534, 2.312651, 0.663770, 0.663770
-0.749071, 2.324790, 0.663770, 0.663770
-0.898593, 2.336994, 0.663770, 0.663770
-1.047764, 2.352998, 0.663770, 0.663770
-1.196736, 2.370751, 0.663770, 0.663770
