# x_m, y_m, w_tr_right_m, w_tr_left_m
0.785896, -0.347382, 0.965509, 1.069444
0.872256, -0.397496, 1.023871, 1.064385
0.964671, -0.435319, 0.986302, 1.049215
1.061058, -0.461455, 0.960319, 1.031110
1.159720, -0.477007, 0.944831, 1.011701
1.259414, -0.483233, 0.938619, 0.992580
1.359302, -0.481741, 0.940110, 0.975588
1.458966, -0.474769, 0.922726, 0.945628
1.558345, -0.464473, 0.914449, 0.911203
1.657571, -0.452779, 0.918448, 0.885376
1.756930, -0.442313, 0.928923, 0.871550
1.856376, -0.432730, 0.938514, 0.861961
1.956181, -0.428715, 0.942529, 0.857947
2.056078, -0.426933, 0.944311, 0.856167
2.155960, -0.424400, 0.946843, 0.861713
2.255866, -0.423896, 0.930441, 0.880631
2.355772, -0.423449, 0.914043, 0.910238
2.455681, -0.422967, 0.903699, 0.933385
2.555576, -0.421381, 0.899607, 0.962442
2.655480, -0.421573, 0.899415, 0.985748
2.755369, -0.419412, 0.901576, 1.014743
2.855164, -0.414654, 0.906334, 1.050084
2.954735, -0.406650, 0.914338, 1.090540
3.053665, -0.392821, 0.922200, 1.133232
3.151272, -0.371624, 0.917982, 1.170231
3.246307, -0.340951, 0.934276, 1.204220
3.336727, -0.298663, 0.972325, 1.233784
3.419632, -0.243167, 1.027936, 1.254473
3.491692, -0.174215, 1.097626, 1.253999
3.550076, -0.093324, 1.064185, 1.238068
3.593033, -0.003249, 1.003262, 1.209581
3.622180, 0.092211, 0.962257, 1.174429
3.639283, 0.190570, 0.935346, 1.135074
3.646749, 0.290165, 0.925237, 1.094172
3.647333, 0.390055, 0.924652, 1.054598
3.643180, 0.489873, 0.928802, 1.018745
3.636314, 0.589549, 0.935660, 0.989059
3.628847, 0.689183, 0.943118, 0.968216
3.622944, 0.788916, 0.949014, 0.954596
3.621648, 0.888809, 0.950310, 0.950223
3.621648, 0.988722, 0.950311, 0.950225
3.619803, 1.088607, 0.952156, 0.948381
3.617669, 1.188495, 0.954289, 0.946250
3.612565, 1.288274, 0.959388, 0.941145
3.605936, 1.387968, 0.973627, 0.934515
3.600621, 1.487737, 0.996453, 0.929200
3.598490, 1.587622, 1.025534, 0.927071
3.601150, 1.687487, 1.058842, 0.929730
