# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.455941, -4.235134, 0.788439, 0.788439
-7.309874, -4.201744, 0.787449, 0.787449
-7.164811, -4.164233, 0.786477, 0.786477
-7.022355, -4.117814, 0.785524, 0.785524
-6.882205, -4.064833, 0.784591, 0.784591
-6.740562, -4.015980, 0.783677, 0.783677
-6.600359, -3.963136, 0.782784, 0.782784
-6.458156, -3.915960, 0.781912, 0.781912
-6.315663, -3.869633, 0.781060, 0.781060
-6.173406, -3.822585, 0.780230, 0.780230
-6.030113, -3.778811, 0.779421, 0.779421
-5.889132, -3.728150, 0.778633, 0.778633
-5.745929, -3.684184, 0.777867, 0.777867
-5.601798, -3.643242, 0.777122, 0.777122
-5.457784, -3.601883, 0.776398, 0.776398
-5.313992, -3.559762, 0.775695, 0.775695
-5.170150, -3.517810, 0.775012, 0.775012
-5.027945, -3.470681, 0.774350, 0.774350
-4.886774, -3.420478, 0.773708, 0.773708
-4.746130, -3.368813, 0.773085, 0.773085
-4.605983, -3.315813, 0.772482, 0.772482
-4.464977, -3.265164, 0.771896, 0.771896
-4.324252, -3.213726, 0.771328, 0.771328
-4.185385, -3.157522, 0.770777, 0.770777
-4.048397, -3.096850, 0.770242, 0.770242
-3.912117, -3.034575, 0.769723, 0.769723
-3.777003, -2.969830, 0.769218, 0.769218
-3.639464, -2.910587, 0.768726, 0.768726
-3.499588, -2.856905, 0.768248, 0.768248
-3.359292, -2.804298, 0.767780, 0.767780
-3.219914, -2.749335, 0.767323, 0.767323
-3.083160, -2.688242, 0.766875, 0.766875
-2.945861, -2.628346, 0.766436, 0.766436
-2.808023, -2.569610, 0.766003, 0.766003
-2.670525, -2.510071, 0.765577, 0.765577
-2.531516, -2.454254, 0.765155, 0.765155
-2.392162, -2.399225, 0.764736, 0.764736
-2.254973, -2.339087, 0.764319, 0.764319
-2.119182, -2.275750, 0.763903, 0.763903
-1.983016, -2.213235, 0.763486, 0.763486
-1.845903, -2.152829, 0.763068, 0.763068
-1.709182, -2.091563, 0.762646, 0.762646
-1.572700, -2.029749, 0.762220, 0.762220
-1.436869, -1.966577, 0.761788, 0.761788
-1.303461, -1.898411, 0.761349, 0.761349
-1.170984, -1.828410, 0.760902, 0.760902
-1.038790, -1.757888, 0.760445, 0.760445
-0.906958, -1.686683, 0.759977, 0.759977
-0.773848, -1.617921, 0.759497, 0.759497
-0.639239, -1.552121, 0.759004, 0.759004
-0.504594, -1.486402, 0.758496, 0.758496
-0.372183, -1.416377, 0.757973, 0.757973
-0.243236, -1.340126, 0.757434, 0.757434
-0.116217, -1.260649, 0.756877, 0.756877
0.011895, -1.182984, 0.756302, 0.756302
0.143202, -1.110940, 0.755707, 0.755707
0.276812, -1.043149, 0.755093, 0.755093
0.409961, -0.974471, 0.754457, 0.754457
0.544412, -0.908344, 0.753800, 0.753800
0.677866, -0.840236, 0.753121, 0.753121
0.811135, -0.771823, 0.752419, 0.752419
0.944718, -0.704300, 0.751693, 0.751693
1.073601, -0.627923, 0.750945, 0.750945
1.205011, -0.555950, 0.750172, 0.750172
1.337481, -0.485935, 0.749375, 0.749375
1.469299, -0.414712, 0.748555, 0.748555
1.600190, -0.341800, 0.747710, 0.747710
1.732671, -0.271810, 0.746841, 0.746841
1.865948, -0.203344, 0.745949, 0.745949
1.998905, -0.134257, 0.745033, 0.745033
2.132869, -0.067472, 0.744094, 0.744094
2.273435, -0.015615, 0.743132, 0.743132
2.415701, 0.031304, 0.742149, 0.742149
2.560528, 0.069634, 0.741144, 0.741144
2.707159, 0.100407, 0.740119, 0.740119
2.854836, 0.125677, 0.739074, 0.739074
3.003461, 0.144581, 0.738012, 0.738012
3.152822, 0.155949, 0.736932, 0.736932
3.302636, 0.153668, 0.735836, 0.735836
3.452310, 0.146791, 0.734726, 0.734726
3.602126, 0.144453, 0.733603, 0.733603
3.751910, 0.140531, 0.732468, 0.732468
3.901646, 0.135079, 0.731324, 0.731324
4.051477, 0.134060, 0.730173, 0.730173
4.201308, 0.132901, 0.729015, 0.729015
4.351124, 0.130547, 0.727854, 0.727854
4.500926, 0.133548, 0.726692, 0.726692
