# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.072552, -4.156913, 0.682837, 0.682837
-5.928324, -4.116093, 0.681871, 0.681871
-5.784661, -4.073327, 0.680838, 0.680838
-5.641447, -4.029114, 0.679742, 0.679742
-5.499635, -3.980603, 0.678587, 0.678587
-5.359774, -3.926785, 0.677377, 0.677377
-5.221430, -3.869086, 0.676116, 0.676116
-5.082418, -3.813043, 0.674808, 0.674808
-4.941441, -3.762198, 0.673457, 0.673457
-4.798912, -3.715817, 0.672068, 0.672068
-4.655136, -3.673456, 0.670645, 0.670645
-4.514210, -3.622479, 0.669193, 0.669193
-4.375300, -3.566216, 0.667717, 0.667717
-4.232856, -3.519665, 0.666220, 0.666220
-4.089333, -3.476914, 0.664708, 0.664708
-3.949957, -3.421807, 0.663186, 0.663186
-3.811536, -3.364301, 0.661657, 0.661657
-3.671464, -3.311045, 0.660128, 0.660128
-3.529739, -3.262249, 0.658602, 0.658602
-3.390207, -3.207724, 0.657084, 0.657084
-3.252341, -3.148895, 0.655579, 0.655579
-3.114431, -3.090168, 0.654092, 0.654092
-2.977017, -3.030288, 0.652627, 0.652627
-2.843164, -2.962836, 0.651190, 0.651190
-2.707681, -2.898727, 0.649783, 0.649783
-2.570331, -2.838711, 0.648413, 0.648413
-2.432360, -2.780131, 0.647083, 0.647083
-2.296063, -2.717867, 0.645798, 0.645798
-2.161229, -2.652394, 0.644562, 0.644562
-2.025279, -2.589273, 0.643379, 0.643379
-1.889272, -2.526267, 0.642253, 0.642253
-1.754774, -2.460121, 0.641189, 0.641189
-1.615816, -2.404218, 0.640189, 0.640189
-1.476730, -2.348337, 0.639259, 0.639259
-1.339951, -2.287044, 0.638400, 0.638400
-1.206024, -2.219761, 0.637618, 0.637618
-1.075563, -2.146042, 0.636914, 0.636914
-0.947070, -2.068967, 0.636293, 0.636293
-0.815649, -1.996880, 0.635757, 0.635757
-0.684770, -1.923814, 0.635309, 0.635309
-0.553845, -1.850832, 0.634951, 0.634951
-0.423042, -1.777631, 0.634688, 0.634688
-0.291891, -1.705058, 0.634519, 0.634519
-0.163124, -1.628370, 0.634449, 0.634449
-0.036279, -1.548509, 0.634478, 0.634478
0.092782, -1.472279, 0.634609, 0.634609
0.223314, -1.398824, 0.634843, 0.634843
0.359634, -1.336571, 0.635182, 0.635182
0.491988, -1.266368, 0.635627, 0.635627
0.620409, -1.189074, 0.636179, 0.636179
0.748750, -1.111652, 0.636839, 0.636839
0.879667, -1.038718, 0.637608, 0.637608
1.011799, -0.967942, 0.638485, 0.638485
1.143165, -0.895759, 0.639473, 0.639473
1.273855, -0.822355, 0.640570, 0.640570
1.403330, -0.746832, 0.641777, 0.641777
1.529797, -0.666375, 0.643093, 0.643093
1.655479, -0.584705, 0.644519, 0.644519
1.784173, -0.507963, 0.646053, 0.646053
1.915516, -0.435824, 0.647694, 0.647694
2.045099, -0.360521, 0.649442, 0.649442
2.178170, -0.291677, 0.651296, 0.651296
2.315094, -0.230793, 0.653255, 0.653255
2.454120, -0.174780, 0.655316, 0.655316
2.597053, -0.130148, 0.657478, 0.657478
2.741686, -0.090788, 0.659739, 0.659739
2.888498, -0.060739, 0.662097, 0.662097
