# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.360029, -2.636021, 1.327030, 1.327030
-7.210954, -2.620792, 1.321233, 1.321233
-7.061083, -2.619003, 1.315313, 1.315313
-6.911253, -2.621733, 1.309281, 1.309281
-6.761602, -2.628449, 1.303151, 1.303151
-6.611992, -2.621952, 1.296935, 1.296935
-6.463044, -2.617083, 1.290647, 1.290647
-6.313748, -2.627478, 1.284300, 1.284300
-6.163877, -2.629074, 1.277906, 1.277906
-6.014008, -2.630084, 1.271478, 1.271478
-5.864129, -2.628714, 1.265029, 1.265029
-5.714246, -2.628014, 1.258571, 1.258571
-5.564845, -2.617977, 1.252117, 1.252117
-5.415534, -2.604882, 1.245678, 1.245678
-5.266189, -2.592164, 1.239266, 1.239266
-5.116444, -2.586254, 1.232894, 1.232894
-4.967353, -2.571145, 1.226571, 1.226571
-4.822342, -2.533815, 1.220311, 1.220311
-4.672785, -2.524506, 1.214122, 1.214122
-4.524766, -2.501826, 1.208015, 1.208015
-4.379583, -2.464584, 1.202001, 1.202001
-4.233685, -2.430307, 1.196088, 1.196088
-4.087034, -2.399334, 1.190287, 1.190287
-3.940077, -2.369962, 1.184606, 1.184606
-3.795467, -2.332733, 1.179053, 1.179053
-3.654073, -2.283030, 1.173636, 1.173636
-3.509636, -2.243835, 1.168364, 1.168364
-3.361904, -2.219254, 1.163241, 1.163241
-3.214012, -2.195090, 1.158276, 1.158276
-3.072068, -2.148676, 1.153475, 1.153475
-2.928523, -2.105993, 1.148842, 1.148842
-2.789135, -2.051321, 1.144382, 1.144382
-2.643903, -2.015018, 1.140101, 1.140101
-2.500025, -1.973070, 1.136003, 1.136003
-2.360230, -1.919019, 1.132090, 1.132090
-2.222686, -1.859545, 1.128366, 1.128366
-2.088549, -1.792668, 1.124833, 1.124833
-1.951255, -1.734174, 1.121492, 1.121492
-1.806280, -1.696312, 1.118347, 1.118347
-1.662727, -1.653205, 1.115396, 1.115396
-1.520221, -1.606976, 1.112641, 1.112641
-1.380624, -1.552515, 1.110081, 1.110081
-1.239877, -1.501427, 1.107716, 1.107716
