# x_m, y_m, w_tr_right_m, w_tr_left_m
-10.444209, 4.964492, 0.884267, 0.884267
-10.294571, 4.976592, 0.879849, 0.879849
-10.144663, 4.984071, 0.875475, 0.875475
-9.994610, 4.988614, 0.871148, 0.871148
-9.844586, 4.992821, 0.866868, 0.866868
-9.695322, 5.008883, 0.862638, 0.862638
-9.545694, 5.020871, 0.858458, 0.858458
-9.395935, 5.031355, 0.854329, 0.854329
-9.246279, 5.042781, 0.850253, 0.850253
-9.097556, 5.063255, 0.846230, 0.846230
-8.947781, 5.070909, 0.842261, 0.842261
-8.798095, 5.080602, 0.838347, 0.838347
-8.648749, 5.093688, 0.834489, 0.834489
-8.498742, 5.087713, 0.830687, 0.830687
-8.348832, 5.079709, 0.826942, 0.826942
-8.198907, 5.071985, 0.823254, 0.823254
-8.049012, 5.063923, 0.819623, 0.819623
-7.899395, 5.051573, 0.816050, 0.816050
-7.751064, 5.028765, 0.812535, 0.812535
-7.603457, 5.001510, 0.809077, 0.809077
-7.456985, 4.969022, 0.805677, 0.805677
-7.312780, 4.927276, 0.802335, 0.802335
-7.166584, 4.893245, 0.799050, 0.799050
-7.025138, 4.844776, 0.795823, 0.795823
-6.886356, 4.787693, 0.792652, 0.792652
-6.744682, 4.738033, 0.789539, 0.789539
-6.599328, 4.700765, 0.786481, 0.786481
-6.456617, 4.655126, 0.783480, 0.783480
-6.316283, 4.601805, 0.780534, 0.780534
-6.175292, 4.550237, 0.777642, 0.777642
-6.039905, 4.485627, 0.774805, 0.774805
-5.902513, 4.425586, 0.772022, 0.772022
-5.762175, 4.372272, 0.769291, 0.769291
-5.622468, 4.317319, 0.766612, 0.766612
-5.479598, 4.271489, 0.763986, 0.763986
-5.338691, 4.220519, 0.761409, 0.761409
-5.201041, 4.160686, 0.758883, 0.758883
-5.059345, 4.111089, 0.756406, 0.756406
-4.917013, 4.063362, 0.753978, 0.753978
-4.774376, 4.016538, 0.751597, 0.751597
-4.631814, 3.969557, 0.749263, 0.749263
-4.493476, 3.911244, 0.746974, 0.746974
-4.355356, 3.852418, 0.744731, 0.744731
-4.216727, 3.794846, 0.742532, 0.742532
-4.076846, 3.740338, 0.740377, 0.740377
-3.938670, 3.681649, 0.738265, 0.738265
-3.801211, 3.621307, 0.736194, 0.736194
-3.663834, 3.560782, 0.734164, 0.734164
-3.525484, 3.502498, 0.732175, 0.732175
-3.389737, 3.438421, 0.730225, 0.730225
-3.258376, 3.366195, 0.728314, 0.728314
-3.129697, 3.289059, 0.726442, 0.726442
-2.994283, 3.224244, 0.724607, 0.724607
-2.865629, 3.147267, 0.722808, 0.722808
-2.737279, 3.069533, 0.721046, 0.721046
-2.605820, 2.997033, 0.719320, 0.719320
-2.472663, 2.927702, 0.717629, 0.717629
-2.340907, 2.855780, 0.715972, 0.715972
-2.210006, 2.782278, 0.714350, 0.714350
-2.078999, 2.708963, 0.712761, 0.712761
-1.950476, 2.631404, 0.711206, 0.711206
-1.821472, 2.554644, 0.709683, 0.709683
-1.691422, 2.479646, 0.708193, 0.708193
-1.561221, 2.404909, 0.706736, 0.706736
-1.435222, 2.323451, 0.705311, 0.705311
-1.308130, 2.244007, 0.703918, 0.703918
-1.174393, 2.175799, 0.702557, 0.702557
-1.044178, 2.101114, 0.701228, 0.701228
-0.914763, 2.025031, 0.699930, 0.699930
-0.785794, 1.948188, 0.698664, 0.698664
-0.656837, 1.871325, 0.697431, 0.697431
-0.528356, 1.793672, 0.696229, 0.696229
-0.399743, 1.716238, 0.695059, 0.695059
-0.270729, 1.639470, 0.693921, 0.693921
-0.142227, 1.561849, 0.692816, 0.692816
-0.013624, 1.484397, 0.691744, 0.691744
0.114517, 1.406201, 0.690705, 0.690705
0.240968, 1.325282, 0.689699, 0.689699
0.375469, 1.258987, 0.688728, 0.688728
0.505238, 1.184646, 0.687790, 0.687790
0.628471, 1.098935, 0.686887, 0.686887
0.756290, 1.020193, 0.686019, 0.686019
0.883666, 0.940741, 0.685187, 0.685187
1.011615, 0.862249, 0.684391, 0.684391
1.141509, 0.786979, 0.683632, 0.683632
