# x_m, y_m, w_tr_right_m, w_tr_left_m
-8.303692, 3.814436, 0.601113, 0.601113
-8.453409, 3.824191, 0.602053, 0.602053
-8.603063, 3.816967, 0.603107, 0.603107
-8.752936, 3.815252, 0.604276, 0.604276
-8.902941, 3.818121, 0.605559, 0.605559
-9.052864, 3.822721, 0.606956, 0.606956
-9.202551, 3.832911, 0.608467, 0.608467
-9.352277, 3.842520, 0.610091, 0.610091
-9.502270, 3.840172, 0.611827, 0.611827
-9.651847, 3.829217, 0.613675, 0.613675
-9.796362, 3.792864, 0.615633, 0.615633
-9.932894, 3.731970, 0.617700, 0.617700
-10.049967, 3.642168, 0.619875, 0.619875
-10.137480, 3.521634, 0.622156, 0.622156
-10.196572, 3.384203, 0.624541, 0.624541
-10.216857, 3.235546, 0.627027, 0.627027
-10.213270, 3.085978, 0.629614, 0.629614
-10.187574, 2.938963, 0.632299, 0.632299
-10.141720, 2.796534, 0.635079, 0.635079
-10.078953, 2.660272, 0.637952, 0.637952
-10.007666, 2.528256, 0.640915, 0.640915
-9.927776, 2.401375, 0.643966, 0.643966
-9.849926, 2.273225, 0.647101, 0.647101
-9.778508, 2.141346, 0.650317, 0.650317
-9.713725, 2.006020, 0.653612, 0.653612
-9.641149, 1.874719, 0.656982, 0.656982
-9.566241, 1.744732, 0.660425, 0.660425
-9.487445, 1.617121, 0.663935, 0.663935
-9.406169, 1.491074, 0.667511, 0.667511
-9.332724, 1.360246, 0.671148, 0.671148
-9.275450, 1.221718, 0.674844, 0.674844
-9.225233, 1.080404, 0.678593, 0.678593
-9.182385, 0.936751, 0.682394, 0.682394
-9.148580, 0.790596, 0.686242, 0.686242
-9.127839, 0.642003, 0.690133, 0.690133
-9.115845, 0.492539, 0.694063, 0.694063
-9.120215, 0.343356, 0.698030, 0.698030
-9.145148, 0.195616, 0.702029, 0.702029
-9.190044, 0.052457, 0.706056, 0.706056
-9.243038, -0.087856, 0.710107, 0.710107
-9.309238, -0.222014, 0.714180, 0.714180
-9.385523, -0.351192, 0.718269, 0.718269
-9.464718, -0.478601, 0.722373, 0.722373
-9.553062, -0.599866, 0.726485, 0.726485
-9.634636, -0.725715, 0.730605, 0.730605
-9.715261, -0.852240, 0.734726, 0.734726
-9.796524, -0.978361, 0.738847, 0.738847
-9.877305, -1.104790, 0.742964, 0.742964
-9.954722, -1.233308, 0.747073, 0.747073
-10.024729, -1.365901, 0.751170, 0.751170
-10.086755, -1.502360, 0.755254, 0.755254
-10.140459, -1.642397, 0.759320, 0.759320
-10.184317, -1.785877, 0.763365, 0.763365
-10.224039, -1.930544, 0.767387, 0.767387
-10.262275, -2.075623, 0.771382, 0.771382
-10.300365, -2.220739, 0.775348, 0.775348
-10.339795, -2.365499, 0.779282, 0.779282
-10.366581, -2.513091, 0.783181, 0.783181
-10.383911, -2.661973, 0.787043, 0.787043
-10.384922, -2.811028, 0.790865, 0.790865
-10.360381, -2.959041, 0.794646, 0.794646
-10.299366, -3.095951, 0.798382, 0.798382
-10.206724, -3.210472, 0.802071, 0.802071
-10.086422, -3.296651, 0.805712, 0.805712
-9.946895, -3.350404, 0.809304, 0.809304
-9.799121, -3.376341, 0.812843, 0.812843
-9.650045, -3.393195, 0.816328, 0.816328
-9.500235, -3.399366, 0.819758, 0.819758
-9.350217, -3.401143, 0.823131, 0.823131
-9.200362, -3.396737, 0.826447, 0.826447
-9.050729, -3.385782, 0.829703, 0.829703
-8.901097, -3.374856, 0.832898, 0.832898
-8.751725, -3.360775, 0.836032, 0.836032
-8.604197, -3.333790, 0.839104, 0.839104
-8.458229, -3.299315, 0.842112, 0.842112
-8.314569, -3.256435, 0.845057, 0.845057
-8.173045, -3.206691, 0.847936, 0.847936
-8.032138, -3.155293, 0.850751, 0.850751
-7.888618, -3.111564, 0.853499, 0.853499
-7.741894, -3.080274, 0.856182, 0.856182
-7.596918, -3.041839, 0.858799, 0.858799
-7.451642, -3.004436, 0.861348, 0.861348
-7.304350, -2.978253, 0.863831, 0.863831
-7.154752, -2.967211, 0.866248, 0.866248
-7.004825, -2.961566, 0.868597, 0.868597
-6.855024, -2.953213, 0.870879, 0.870879
-6.705201, -2.945261, 0.873095, 0.873095
-6.555613, -2.951519, 0.875244, 0.875244
-6.405964, -2.953926, 0.877327, 0.877327
-6.256085, -2.949509, 0.879344, 0.879344
-6.106121, -2.953474, 0.881295, 0.881295
-5.956381, -2.962858, 0.883180, 0.883180
-5.806404, -2.959422, 0.885000, 0.885000
-5.656751, -2.949248, 0.886755, 0.886755
-5.506976, -2.940889, 0.888445, 0.888445
-5.357065, -2.934815, 0.890072, 0.890072
-5.207188, -2.928090, 0.891634, 0.891634
-5.057416, -2.919233, 0.893134, 0.893134
-4.907610, -2.910962, 0.894570, 0.894570
-4.757950, -2.900408, 0.895944, 0.895944
-4.608092, -2.893581, 0.897255, 0.897255
-4.458114, -2.892675, 0.898505, 0.898505
-4.308119, -2.892788, 0.899693, 0.899693
-4.158151, -2.888345, 0.900821, 0.900821
-4.008218, -2.882996, 0.901887, 0.901887
-3.858885, -2.868515, 0.902893, 0.902893
-3.709083, -2.860708, 0.903839, 0.903839
-3.559171, -2.854679, 0.904724, 0.904724
