# x_m, y_m, w_tr_right_m, w_tr_left_m
-11.167665, 4.809596, 0.853693, 0.853693
-11.307492, 4.755053, 0.851341, 0.851341
-11.437170, 4.681150, 0.849074, 0.849074
-11.541224, 4.580706, 0.846894, 0.846894
-11.597482, 4.441560, 0.844804, 0.844804
-11.625076, 4.294627, 0.842807, 0.842807
-11.631857, 4.146577, 0.840904, 0.840904
-11.601472, 3.999596, 0.839098, 0.839098
-11.570366, 3.852768, 0.837391, 0.837391
-11.536338, 3.706726, 0.835784, 0.835784
-11.488163, 3.564579, 0.834279, 0.834279
-11.426066, 3.428527, 0.832876, 0.832876
-11.354551, 3.296577, 0.831578, 0.831578
-11.287542, 3.162278, 0.830386, 0.830386
-11.224652, 3.026078, 0.829299, 0.829299
-11.165993, 2.887928, 0.828319, 0.828319
-11.082606, 2.763341, 0.827447, 0.827447
-10.995969, 2.640805, 0.826682, 0.826682
-10.907152, 2.519818, 0.826024, 0.826024
-10.832609, 2.389621, 0.825474, 0.825474
-10.754999, 2.261281, 0.825031, 0.825031
-10.671577, 2.136512, 0.824694, 0.824694
-10.587687, 2.012058, 0.824464, 0.824464
-10.505528, 1.886489, 0.824339, 0.824339
-10.426902, 1.758644, 0.824318, 0.824318
-10.350972, 1.629190, 0.824401, 0.824401
-10.277809, 1.498216, 0.824585, 0.824585
-10.212260, 1.363197, 0.824870, 0.824870
-10.158931, 1.223303, 0.825254, 0.825254
-10.113508, 1.080253, 0.825734, 0.825734
-10.077608, 0.934527, 0.826310, 0.826310
-10.047872, 0.787655, 0.826978, 0.826978
-10.029576, 0.638687, 0.827737, 0.827737
-10.039387, 0.490111, 0.828585, 0.828585
-10.061677, 0.341689, 0.829518, 0.829518
-10.080910, 0.192838, 0.830534, 0.830534
-10.104367, 0.044674, 0.831630, 0.831630
-10.133318, -0.102596, 0.832804, 0.832804
-10.167309, -0.248765, 0.834052, 0.834052
-10.203205, -0.394488, 0.835371, 0.835371
-10.242026, -0.539469, 0.836758, 0.836758
-10.294811, -0.679497, 0.838209, 0.838209
-10.355413, -0.816776, 0.839721, 0.839721
-10.403663, -0.958897, 0.841290, 0.841290
-10.446526, -1.102608, 0.842913, 0.842913
-10.483165, -1.248155, 0.844586, 0.844586
-10.540880, -1.386415, 0.846305, 0.846305
-10.594064, -1.526189, 0.848066, 0.848066
-10.628971, -1.672162, 0.849866, 0.849866
-10.672987, -1.815527, 0.851700, 0.851700
-10.720327, -1.957953, 0.853563, 0.853563
-10.766232, -2.100849, 0.855453, 0.855453
-10.806610, -2.245321, 0.857365, 0.857365
-10.842989, -2.390934, 0.859294, 0.859294
-10.854566, -2.540565, 0.861236, 0.861236
-10.869318, -2.689870, 0.863188, 0.863188
-10.889155, -2.838641, 0.865145, 0.865145
-10.904077, -2.987965, 0.867103, 0.867103
-10.917343, -3.137464, 0.869057, 0.869057
-10.929126, -3.287089, 0.871003, 0.871003
-10.934490, -3.437007, 0.872937, 0.872937
-10.935699, -3.587076, 0.874854, 0.874854
-10.930819, -3.737085, 0.876752, 0.876752
-10.904110, -3.883557, 0.878624, 0.878624
-10.858323, -4.026228, 0.880468, 0.880468
-10.791209, -4.160475, 0.882280, 0.882280
-10.689081, -4.266669, 0.884054, 0.884054
-10.564488, -4.347172, 0.885787, 0.885787
-10.424074, -4.400183, 0.887476, 0.887476
-10.275373, -4.419886, 0.889116, 0.889116
-10.125756, -4.427343, 0.890704, 0.890704
-9.976204, -4.421345, 0.892235, 0.892235
-9.828479, -4.394816, 0.893707, 0.893707
-9.680113, -4.372215, 0.895116, 0.895116
-9.531060, -4.355737, 0.896457, 0.896457
-9.381263, -4.346397, 0.897729, 0.897729
-9.231370, -4.338736, 0.898928, 0.898928
-9.081561, -4.329657, 0.900050, 0.900050
-8.931711, -4.322109, 0.901093, 0.901093
-8.781627, -4.320948, 0.902053, 0.902053
-8.631793, -4.312649, 0.902928, 0.902928
