# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.692098, -3.804721, 0.898707, 0.898707
-7.542401, -3.814566, 0.898707, 0.898707
-7.392374, -3.811446, 0.898707, 0.898707
-7.242454, -3.804836, 0.898707, 0.898707
-7.092564, -3.797580, 0.898707, 0.898707
-6.942588, -3.794400, 0.898707, 0.898707
-6.792534, -3.796279, 0.898707, 0.898707
-6.642474, -3.796913, 0.898707, 0.898707
-6.492433, -3.794527, 0.898707, 0.898707
-6.342625, -3.786224, 0.898707, 0.898707
-6.193820, -3.767268, 0.898707, 0.898707
-6.046132, -3.740728, 0.898707, 0.898707
-5.903274, -3.694941, 0.898707, 0.898707
-5.756924, -3.662258, 0.898707, 0.898707
-5.607931, -3.644526, 0.897569, 0.897569
-5.458997, -3.627226, 0.895805, 0.895805
-5.311833, -3.598051, 0.893981, 0.893981
-5.164038, -3.573897, 0.892099, 0.892099
-5.014403, -3.562875, 0.890161, 0.890161
-4.865219, -3.547471, 0.888169, 0.888169
-4.718687, -3.516020, 0.886126, 0.886126
-4.569706, -3.501590, 0.884034, 0.884034
-4.423072, -3.470650, 0.881895, 0.881895
-4.277391, -3.434740, 0.879711, 0.879711
-4.129133, -3.412226, 0.877484, 0.877484
-3.980359, -3.397423, 0.875217, 0.875217
-3.835190, -3.359440, 0.872911, 0.872911
-3.690246, -3.320800, 0.870568, 0.870568
-3.547186, -3.275509, 0.868190, 0.868190
-3.404081, -3.230367, 0.865779, 0.865779
-3.265817, -3.173129, 0.863336, 0.863336
-3.130995, -3.107229, 0.860864, 0.860864
-3.000151, -3.033867, 0.858363, 0.858363
-2.873180, -2.953906, 0.855836, 0.855836
-2.741243, -2.882465, 0.853284, 0.853284
-2.605012, -2.819530, 0.850707, 0.850707
-2.469596, -2.754877, 0.848108, 0.848108
-2.336142, -2.686279, 0.845488, 0.845488
-2.203769, -2.615598, 0.842848, 0.842848
-2.069898, -2.547813, 0.840189, 0.840189
-1.936066, -2.479956, 0.837512, 0.837512
-1.805160, -2.406661, 0.834818, 0.834818
-1.676937, -2.328715, 0.832108, 0.832108
-1.548066, -2.251835, 0.829383, 0.829383
-1.418297, -2.176472, 0.826644, 0.826644
-1.287781, -2.102410, 0.823891, 0.823891
-1.156317, -2.030052, 0.821126, 0.821126
-1.025235, -1.957233, 0.818348, 0.818348
-0.887991, -1.896576, 0.815558, 0.815558
-0.750240, -1.837123, 0.812757, 0.812757
-0.613706, -1.774862, 0.809945, 0.809945
-0.481118, -1.705237, 0.807123, 0.807123
-0.351689, -1.629314, 0.804290, 0.804290
-0.218393, -1.560526, 0.801448, 0.801448
-0.082778, -1.496283, 0.798597, 0.798597
0.057489, -1.443171, 0.795736, 0.795736
0.191647, -1.376117, 0.792867, 0.792867
0.320390, -1.299013, 0.789988, 0.789988
0.451923, -1.227391, 0.787101, 0.787101
0.591956, -1.173473, 0.784205, 0.784205
0.730959, -1.116921, 0.781300, 0.781300
0.870642, -1.062096, 0.778387, 0.778387
1.011437, -1.010181, 0.775466, 0.775466
1.142803, -0.939996, 0.772536, 0.772536
1.268672, -0.858308, 0.769598, 0.769598
1.394692, -0.776833, 0.766651, 0.766651
1.515204, -0.687505, 0.763696, 0.763696
1.636936, -0.599757, 0.760732, 0.760732
1.756401, -0.508941, 0.757760, 0.757760
1.878167, -0.421399, 0.754780, 0.754780
2.008688, -0.347664, 0.751791, 0.751791
2.146981, -0.289976, 0.748794, 0.748794
2.289779, -0.243846, 0.745789, 0.745789
2.431273, -0.194081, 0.742776, 0.742776
2.574011, -0.148459, 0.739754, 0.739754
2.719940, -0.113606, 0.736725, 0.736725
2.866088, -0.079547, 0.733687, 0.733687
3.012226, -0.045439, 0.730642, 0.730642
3.159639, -0.017417, 0.727590, 0.727590
3.309078, -0.004174, 0.724531, 0.724531
3.457493, 0.016850, 0.721464, 0.721464
3.607515, 0.019044, 0.718391, 0.718391
3.757541, 0.015582, 0.715312, 0.715312
3.907538, 0.011093, 0.712227, 0.712227
4.057417, 0.012786, 0.709137, 0.709137
4.206691, 0.006456, 0.706041, 0.706041
4.355646, -0.011760, 0.702942, 0.702942
4.505084, -0.025195, 0.699839, 0.699839
4.654578, -0.038276, 0.696733, 0.696733
4.801476, -0.068338, 0.693625, 0.693625
4.947543, -0.102717, 0.690515, 0.690515
5.095223, -0.129177, 0.687404, 0.687404
5.244253, -0.146717, 0.684294, 0.684294
5.393375, -0.163243, 0.681185, 0.681185
5.540838, -0.190082, 0.678078, 0.678078
