# x_m, y_m, w_tr_right_m, w_tr_left_m
-4.694090, 2.427524, 0.624177, 0.624177
-4.843940, 2.416532, 0.628424, 0.628424
-4.993849, 2.418254, 0.632771, 0.632771
-5.143425, 2.432383, 0.637219, 0.637219
-5.293258, 2.429177, 0.641765, 0.641765
-5.442338, 2.410631, 0.646408, 0.646408
-5.592303, 2.416937, 0.651144, 0.651144
-5.741508, 2.410102, 0.655971, 0.655971
-5.889176, 2.385221, 0.660885, 0.660885
-6.039257, 2.377917, 0.665880, 0.665880
-6.189386, 2.371370, 0.670952, 0.670952
-6.337867, 2.391141, 0.676094, 0.676094
-6.484656, 2.360298, 0.681300, 0.681300
-6.627914, 2.315413, 0.686563, 0.686563
-6.764368, 2.256721, 0.691874, 0.691874
-6.860135, 2.144870, 0.697225, 0.697225
-6.923689, 2.009012, 0.702607, 0.702607
-6.938637, 1.865774, 0.708010, 0.708010
-6.898139, 1.721077, 0.713425, 0.713425
-6.863268, 1.574938, 0.718840, 0.718840
-6.811499, 1.434542, 0.724245, 0.724245
-6.726233, 1.311792, 0.729628, 0.729628
-6.623329, 1.202353, 0.734978, 0.734978
-6.558019, 1.068179, 0.740283, 0.740283
-6.486509, 0.936252, 0.745531, 0.745531
-6.404522, 0.810315, 0.750710, 0.750710
-6.323196, 0.683959, 0.755808, 0.755808
-6.234413, 0.562729, 0.760812, 0.760812
-6.159034, 0.433288, 0.765712, 0.765712
-6.122275, 0.289954, 0.770495, 0.770495
-6.143665, 0.142094, 0.775150, 0.775150
-6.171897, -0.004145, 0.779666, 0.779666
-6.266975, -0.118920, 0.784031, 0.784031
-6.356012, -0.239967, 0.788237, 0.788237
-6.457777, -0.349918, 0.792273, 0.792273
-6.536587, -0.476678, 0.796130, 0.796130
-6.628025, -0.595894, 0.799801, 0.799801
-6.732559, -0.702957, 0.803277, 0.803277
-6.821345, -0.821201, 0.806552, 0.806552
-6.903134, -0.947150, 0.809621, 0.809621
-6.966145, -1.083417, 0.812478, 0.812478
-7.026556, -1.220484, 0.815120, 0.815120
-7.072470, -1.361126, 0.817544, 0.817544
-7.070978, -1.510567, 0.819749, 0.819749
-7.026330, -1.653457, 0.821734, 0.821734
-6.949948, -1.782306, 0.823499, 0.823499
-6.844750, -1.888669, 0.825048, 0.825048
-6.717564, -1.967013, 0.826382, 0.826382
-6.573973, -2.003242, 0.827507, 0.827507
-6.424610, -2.019313, 0.828427, 0.828427
-6.274814, -2.030297, 0.829149, 0.829149
-6.124822, -2.038990, 0.829683, 0.829683
-5.974918, -2.029179, 0.830036, 0.830036
-5.824678, -2.029476, 0.830218, 0.830218
-5.675796, -2.046156, 0.830243, 0.830243
-5.528072, -2.037296, 0.830122, 0.830122
-5.378410, -2.026271, 0.829869, 0.829869
-5.232312, -1.992273, 0.829498, 0.829498
-5.082638, -1.986753, 0.829026, 0.829026
-4.932790, -1.992640, 0.828470, 0.828470
-4.783801, -1.975689, 0.827845, 0.827845
-4.634076, -1.970316, 0.827172, 0.827172
-4.484758, -1.986448, 0.826468, 0.826468
-4.335755, -1.987645, 0.825753, 0.825753
-4.188433, -1.963762, 0.825047, 0.825047
-4.039654, -1.948650, 0.824371, 0.824371
-3.893324, -1.914616, 0.823745, 0.823745
-3.744038, -1.902523, 0.823190, 0.823190
-3.599366, -1.863833, 0.822728, 0.822728
-3.449249, -1.857347, 0.822380, 0.822380
-3.299340, -1.862265, 0.822166, 0.822166
-3.149559, -1.873809, 0.822107, 0.822107
-2.999349, -1.876462, 0.822224, 0.822224
-2.849377, -1.884757, 0.822537, 0.822537
-2.699402, -1.880143, 0.823066, 0.823066
-2.549454, -1.889198, 0.823828, 0.823828
-2.399563, -1.898471, 0.824844, 0.824844
-2.251240, -1.884869, 0.826129, 0.826129
-2.101454, -1.877851, 0.827700, 0.827700
-1.951224, -1.874751, 0.829572, 0.829572
-1.801072, -1.872498, 0.831760, 0.831760
-1.651056, -1.869113, 0.834276, 0.834276
-1.501513, -1.882494, 0.837132, 0.837132
-1.352411, -1.901211, 0.840338, 0.840338
-1.202391, -1.901249, 0.843903, 0.843903
-1.053705, -1.881321, 0.847833, 0.847833
-0.903738, -1.884649, 0.852135, 0.852135
-0.753902, -1.895595, 0.856811, 0.856811
-0.608489, -1.866606, 0.861865, 0.861865
-0.461643, -1.835354, 0.867296, 0.867296
-0.312375, -1.818144, 0.873103, 0.873103
-0.162641, -1.811744, 0.879283, 0.879283
-0.013645, -1.829554, 0.885829, 0.885829
0.135294, -1.832397, 0.892737, 0.892737
0.285333, -1.833324, 0.899995, 0.899995
0.435186, -1.844034, 0.907595, 0.907595
0.584708, -1.836997, 0.915523, 0.915523
0.732499, -1.810795, 0.923765, 0.923765
0.882215, -1.807316, 0.932304, 0.932304
1.031402, -1.795317, 0.941124, 0.941124
1.178909, -1.766796, 0.950204, 0.950204
1.328984, -1.771887, 0.959523, 0.959523
1.477681, -1.755073, 0.969060, 0.969060
1.625412, -1.733138, 0.978789, 0.978789
1.775662, -1.732719, 0.988685, 0.988685
1.925756, -1.739485, 0.998721, 0.998721
2.073107, -1.712538, 1.008870, 1.008870
2.223281, -1.707114, 1.019103, 1.019103
2.373224, -1.698344, 1.029389, 1.029389
2.523192, -1.691475, 1.039697, 1.039697
2.672992, -1.681081, 1.049995, 1.049995
2.823169, -1.681408, 1.060252, 1.060252
2.973288, -1.685007, 1.070435, 1.070435
3.123349, -1.677025, 1.080510, 1.080510
3.273130, -1.680971, 1.090444, 1.090444
3.422869, -1.693513, 1.100203, 1.100203
3.572850, -1.702815, 1.109754, 1.109754
3.723097, -1.705343, 1.119063, 1.119063
3.872982, -1.702774, 1.128098, 1.128098
4.022320, -1.686168, 1.136826, 1.136826
4.171231, -1.666435, 1.145214, 1.145214
4.318867, -1.638536, 1.153232, 1.153232
4.467886, -1.622970, 1.160849, 1.160849
4.616589, -1.635440, 1.164646, 1.164646
4.765615, -1.616174, 1.164646, 1.164646
4.914533, -1.596165, 1.164646, 1.164646
5.064294, -1.591336, 1.164646, 1.164646
5.210769, -1.560733, 1.164646, 1.164646
5.360815, -1.553937, 1.164646, 1.164646
5.510491, -1.563629, 1.164646, 1.164646
5.659790, -1.575639, 1.164646, 1.164646
5.809314, -1.563592, 1.164646, 1.164646
5.956254, -1.583910, 1.164646, 1.164646
6.105165, -1.600488, 1.164646, 1.164646
6.253824, -1.578592, 1.164646, 1.164646
6.402211, -1.554879, 1.164646, 1.164646
6.537885, -1.494666, 1.164646, 1.164646
6.652853, -1.397963, 1.164646, 1.164646
6.759899, -1.292619, 1.164646, 1.164646
6.833075, -1.162190, 1.164646, 1.164646
6.884717, -1.023162, 1.164646, 1.164646
6.908686, -0.874823, 1.164646, 1.164646
6.933285, -0.726915, 1.164646, 1.164646
6.931493, -0.576655, 1.164646, 1.164646
6.939094, -0.426800, 1.164646, 1.164646
6.979576, -0.282595, 1.164646, 1.164646
7.001816, -0.134045, 1.164646, 1.164646
6.986469, 0.012851, 1.161293, 1.161293
6.988368, 0.161359, 1.152854, 1.152854
7.015570, 0.308904, 1.143827, 1.143827
7.033734, 0.455913, 1.134233, 1.134233
7.041363, 0.605606, 1.124094, 1.124094
7.039935, 0.755787, 1.113435, 1.113435
7.019679, 0.904038, 1.102281, 1.102281
6.999588, 1.052509, 1.090659, 1.090659
7.016735, 1.201491, 1.078597, 1.078597
7.019312, 1.351405, 1.066124, 1.066124
7.020711, 1.501423, 1.053271, 1.053271
7.007173, 1.650438, 1.040069, 1.040069
6.954101, 1.790050, 1.026548, 1.026548
6.907793, 1.929841, 1.012744, 1.012744
6.809602, 2.041522, 0.998687, 0.998687
6.679545, 2.112983, 0.984412, 0.984412
6.549249, 2.186812, 0.969952, 0.969952
6.404009, 2.217041, 0.955342, 0.955342
6.254261, 2.226952, 0.940614, 0.940614
6.105127, 2.209017, 0.925804, 0.925804
5.956409, 2.196215, 0.910944, 0.910944
5.806746, 2.209352, 0.896067, 0.896067
5.657177, 2.205038, 0.881207, 0.881207
5.507169, 2.196539, 0.866394, 0.866394
5.357207, 2.205897, 0.851661, 0.851661
5.207529, 2.215954, 0.837038, 0.837038
5.058265, 2.231349, 0.822555, 0.822555
4.908074, 2.236047, 0.808239, 0.808239
4.758752, 2.221920, 0.794119, 0.794119
4.609110, 2.232040, 0.780221, 0.780221
4.459959, 2.218516, 0.766570, 0.766570
4.315847, 2.176066, 0.753188, 0.753188
4.178864, 2.116907, 0.740100, 0.740100
4.063954, 2.022441, 0.727324, 0.727324
3.987585, 1.895465, 0.714882, 0.714882
3.953284, 1.750022, 0.702789, 0.702789
3.956409, 1.600311, 0.691064, 0.691064
3.962440, 1.450180, 0.679719, 0.679719
3.973819, 1.300342, 0.668769, 0.668769
4.002828, 1.153214, 0.658224, 0.658224
4.002497, 1.003281, 0.648094, 0.648094
4.010629, 0.853511, 0.638387, 0.638387
4.038820, 0.707071, 0.629110, 0.629110
4.027703, 0.557653, 0.620267, 0.620267
4.006768, 0.409246, 0.611863, 0.611863
3.951875, 0.269932, 0.603899, 0.603899
3.859197, 0.161948, 0.596374, 0.596374
3.714743, 0.127565, 0.589290, 0.589290
3.565516, 0.111641, 0.582641, 0.582641
3.416001, 0.120903, 0.576427, 0.576427
3.267382, 0.143043, 0.570640, 0.570640
3.117559, 0.148124, 0.565275, 0.565275
2.967307, 0.145651, 0.560325, 0.560325
2.817602, 0.151439, 0.555782, 0.555782
2.670133, 0.122704, 0.551636, 0.551636
2.522169, 0.106398, 0.547878, 0.547878
2.372904, 0.097440, 0.544496, 0.544496
2.224581, 0.073345, 0.541479, 0.541479
2.075682, 0.053146, 0.538816, 0.538816
1.926617, 0.035248, 0.536492, 0.536492
1.776441, 0.033914, 0.534497, 0.534497
1.626490, 0.029902, 0.532815, 0.532815
1.476383, 0.026650, 0.531433, 0.531433
1.326235, 0.032395, 0.530339, 0.530339
1.176276, 0.023548, 0.529517, 0.529517
1.027267, 0.034355, 0.528954, 0.528954
0.881406, 0.070467, 0.528637, 0.528637
0.740936, 0.121489, 0.528551, 0.528551
0.598141, 0.166516, 0.528684, 0.528684
0.461364, 0.227887, 0.529023, 0.529023
0.330177, 0.301029, 0.529555, 0.529555
0.200377, 0.375326, 0.530267, 0.530267
0.065584, 0.433369, 0.531148, 0.531148
-0.077938, 0.477041, 0.532188, 0.532188
-0.210450, 0.547134, 0.533374, 0.533374
-0.342708, 0.618457, 0.534698, 0.534698
-0.478532, 0.682392, 0.536150, 0.536150
-0.614317, 0.746057, 0.537721, 0.537721
-0.747188, 0.816222, 0.539404, 0.539404
-0.885630, 0.874427, 0.541191, 0.541191
-1.000419, 0.971328, 0.543076, 0.543076
-1.124668, 1.052460, 0.545053, 0.545053
-1.242083, 1.140201, 0.547118, 0.547118
-1.355798, 1.237892, 0.549265, 0.549265
-1.479878, 1.322382, 0.551491, 0.551491
-1.611345, 1.395154, 0.553793, 0.553793
-1.739872, 1.472939, 0.556170, 0.556170
-1.870644, 1.546832, 0.558620, 0.558620
-2.004442, 1.614773, 0.561140, 0.561140
-2.128310, 1.699843, 0.563733, 0.563733
-2.252471, 1.784462, 0.566396, 0.566396
-2.385722, 1.853037, 0.569131, 0.569131
-2.526264, 1.906083, 0.571939, 0.571939
-2.666438, 1.958555, 0.574822, 0.574822
-2.802276, 2.019090, 0.577781, 0.577781
-2.944466, 2.066388, 0.580817, 0.580817
-3.081748, 2.127446, 0.583934, 0.583934
-3.226055, 2.168408, 0.587134, 0.587134
-3.364988, 2.225495, 0.590418, 0.590418
-3.505742, 2.274786, 0.593790, 0.593790
-3.654342, 2.296322, 0.597253, 0.597253
-3.804291, 2.305028, 0.600807, 0.600807
-3.949851, 2.340856, 0.604456, 0.604456
-4.096988, 2.371367, 0.608201, 0.608201
-4.244600, 2.398427, 0.612045, 0.612045
-4.394413, 2.406538, 0.615988, 0.615988
-4.544342, 2.414979, 0.620032, 0.620032
