# x_m, y_m, w_tr_right_m, w_tr_left_m
-8.302660, 3.257922, 0.874794, 0.874794
-8.433661, 3.184578, 0.881277, 0.881277
-8.566394, 3.121771, 0.887933, 0.887933
-8.618910, 2.981057, 0.894759, 0.894759
-8.668128, 2.839173, 0.901753, 0.901753
-8.689718, 2.690535, 0.908912, 0.908912
-8.660499, 2.545139, 0.916234, 0.916234
-8.609043, 2.404239, 0.923713, 0.923713
-8.552604, 2.265049, 0.931347, 0.931347
-8.490554, 2.128396, 0.939129, 0.939129
-8.416800, 1.997825, 0.947054, 0.947054
-8.342119, 1.868054, 0.955116, 0.955116
-8.269348, 1.739962, 0.963308, 0.963308
-8.156715, 1.641276, 0.971624, 0.971624
-8.065202, 1.522492, 0.980055, 0.980055
-7.947207, 1.429558, 0.988594, 0.988594
-7.842239, 1.322182, 0.997231, 0.997231
-7.746287, 1.206693, 1.005957, 1.005957
-7.677917, 1.073808, 1.014762, 1.014762
-7.612617, 0.938565, 1.023635, 1.023635
-7.546744, 0.803584, 1.032565, 1.032565
-7.488370, 0.665399, 1.041539, 1.041539
-7.449115, 0.521359, 1.050542, 1.050542
-7.439310, 0.372284, 1.059561, 1.059561
-7.458535, 0.223357, 1.068576, 1.068576
-7.487047, 0.075892, 1.077570, 1.077570
-7.526127, -0.069134, 1.086519, 1.086519
-7.564379, -0.214379, 1.095395, 1.095395
-7.605214, -0.358914, 1.104167, 1.104167
-7.653994, -0.500891, 1.112794, 1.112794
-7.688089, -0.646532, 1.121229, 1.121229
-7.720392, -0.792991, 1.129414, 1.129414
-7.777201, -0.930388, 1.137275, 1.137275
-7.854543, -1.059099, 1.144725, 1.144725
-7.917743, -1.194175, 1.151659, 1.151659
-7.946993, -1.340859, 1.157948, 1.157948
-7.954067, -1.490289, 1.163443, 1.163443
-7.998791, -1.633617, 1.167965, 1.167965
-8.024501, -1.781598, 1.171313, 1.171313
-8.044329, -1.930479, 1.173258, 1.173258
-8.070886, -2.078292, 1.173544, 1.173544
-8.100595, -2.225519, 1.171897, 1.171897
-8.092838, -2.374179, 1.163447, 1.163447
-8.092977, -2.524011, 1.151126, 1.151126
-8.068625, -2.671169, 1.136571, 1.136571
-7.989860, -2.796422, 1.119585, 1.119585
-7.901690, -2.918013, 1.100012, 1.100012
-7.764157, -2.959533, 1.077744, 1.077744
-7.614454, -2.957009, 1.052742, 1.052742
-7.466640, -2.979929, 1.025049, 1.025049
-7.317204, -2.979834, 0.994803, 0.994803
-7.168057, -2.962853, 0.962245, 0.962245
-7.018375, -2.951638, 0.927732, 0.927732
-6.868328, -2.953440, 0.891730, 0.891730
-6.718650, -2.965234, 0.854816, 0.854816
-6.568794, -2.967512, 0.817665, 0.817665
-6.426642, -2.928564, 0.781031, 0.781031
-6.285091, -2.881371, 0.745729, 0.745729
-6.138435, -2.879422, 0.712599, 0.712599
-5.991050, -2.904690, 0.682480, 0.682480
-5.842033, -2.898839, 0.656173, 0.656173
-5.694353, -2.877814, 0.634403, 0.634403
-5.544756, -2.889241, 0.617792, 0.617792
-5.396141, -2.909992, 0.606823, 0.606823
-5.247337, -2.908669, 0.601822, 0.601822
-5.104641, -2.862223, 0.602937, 0.602937
-4.956479, -2.837949, 0.610135, 0.610135
-4.806347, -2.834944, 0.623202, 0.623202
-4.659188, -2.865005, 0.641752, 0.641752
-4.509156, -2.864227, 0.665250, 0.665250
-4.367353, -2.816590, 0.693032, 0.693032
-4.220015, -2.789538, 0.724341, 0.724341
-4.071134, -2.769736, 0.758359, 0.758359
-3.921793, -2.753807, 0.794242, 0.794242
-3.772068, -2.742042, 0.831155, 0.831155
-3.624466, -2.716020, 0.868304, 0.868304
-3.475756, -2.697018, 0.904959, 0.904959
-3.325951, -2.686259, 0.940481, 0.940481
-3.177994, -2.662907, 0.974331, 0.974331
-3.030941, -2.632361, 1.006084, 1.006084
-2.883045, -2.630691, 1.035424, 1.035424
-2.740472, -2.612434, 1.062149, 1.062149
-2.599209, -2.569708, 1.081803, 1.081803
-2.449822, -2.573405, 1.096381, 1.096381
-2.301104, -2.590664, 1.107601, 1.107601
-2.151073, -2.585878, 1.115676, 1.115676
-2.001642, -2.570833, 1.120865, 1.120865
-1.852414, -2.555835, 1.123453, 1.123453
-1.702725, -2.562689, 1.123737, 1.123737
-1.555976, -2.594339, 1.122014, 1.122014
-1.406452, -2.608527, 1.118566, 1.118566
-1.256488, -2.616914, 1.113658, 1.113658
-1.107798, -2.638096, 1.107530, 1.107530
-0.959800, -2.663691, 1.100399, 1.100399
-0.810413, -2.654293, 1.092450, 1.092450
-0.662316, -2.629662, 1.083846, 1.083846
-0.512635, -2.629377, 1.074725, 1.074725
-0.363193, -2.643712, 1.065200, 1.065200
-0.214772, -2.629584, 1.055369, 1.055369
-0.065208, -2.620349, 1.045310, 1.045310
0.084133, -2.606433, 1.035088, 1.035088
0.233786, -2.603463, 1.024757, 1.024757
0.383451, -2.615307, 1.014362, 1.014362
0.530574, -2.643363, 1.003939, 1.003939
0.678287, -2.663216, 0.993522, 0.993522
0.826268, -2.646448, 0.983135, 0.983135
0.971080, -2.640662, 0.972804, 0.972804
1.116611, -2.664308, 0.962549, 0.962549
1.265431, -2.656131, 0.952388, 0.952388
1.414122, -2.669742, 0.942339, 0.942339
1.563547, -2.656638, 0.932418, 0.932418
1.712763, -2.665980, 0.922640, 0.922640
1.857082, -2.704898, 0.913019, 0.913019
2.005488, -2.682069, 0.903568, 0.903568
2.155673, -2.680096, 0.894299, 0.894299
2.305867, -2.678989, 0.885224, 0.885224
2.448110, -2.631565, 0.876355, 0.876355
2.595041, -2.601182, 0.867702, 0.867702
2.744574, -2.606293, 0.859274, 0.859274
2.893724, -2.623684, 0.851081, 0.851081
3.042712, -2.613166, 0.843131, 0.843131
3.191761, -2.594627, 0.835432, 0.835432
3.341636, -2.590699, 0.827991, 0.827991
3.487722, -2.562200, 0.820813, 0.820813
3.635571, -2.550600, 0.813906, 0.813906
3.785192, -2.543734, 0.807273, 0.807273
3.934964, -2.533837, 0.800919, 0.800919
4.084737, -2.523623, 0.794847, 0.794847
4.234444, -2.511861, 0.789060, 0.789060
4.384239, -2.501082, 0.783560, 0.783560
4.532038, -2.477379, 0.778348, 0.778348
4.678392, -2.444129, 0.773425, 0.773425
4.826919, -2.431179, 0.768789, 0.768789
4.976620, -2.443372, 0.764442, 0.764442
5.126462, -2.449570, 0.760380, 0.760380
5.275246, -2.434476, 0.756603, 0.756603
5.420412, -2.396171, 0.753106, 0.753106
5.568095, -2.372577, 0.749886, 0.749886
5.716977, -2.378776, 0.746940, 0.746940
5.857635, -2.326248, 0.744262, 0.744262
6.006208, -2.304215, 0.741848, 0.741848
6.149985, -2.260835, 0.739690, 0.739690
6.299226, -2.245448, 0.737784, 0.737784
6.446671, -2.217208, 0.736122, 0.736122
6.596515, -2.213910, 0.734696, 0.734696
6.745775, -2.198542, 0.733500, 0.733500
6.895725, -2.191986, 0.732523, 0.732523
7.044828, -2.175297, 0.731759, 0.731759
7.194184, -2.180080, 0.731199, 0.731199
7.343742, -2.174825, 0.730831, 0.730831
7.493698, -2.172325, 0.730648, 0.730648
7.639602, -2.145876, 0.730640, 0.730640
7.782233, -2.098830, 0.730796, 0.730796
7.924840, -2.051702, 0.731106, 0.731106
8.057379, -1.985117, 0.731559, 0.731559
8.165696, -1.883374, 0.732146, 0.732146
8.250144, -1.759552, 0.732855, 0.732855
8.322570, -1.627986, 0.733676, 0.733676
8.384442, -1.491790, 0.734598, 0.734598
8.427420, -1.347875, 0.735610, 0.735610
8.465211, -1.203252, 0.736703, 0.736703
8.469886, -1.053250, 0.737864, 0.737864
8.459538, -0.903616, 0.739084, 0.739084
8.485189, -0.755624, 0.740353, 0.740353
8.509448, -0.607398, 0.741659, 0.741659
8.478812, -0.462284, 0.742994, 0.742994
8.448317, -0.315362, 0.744348, 0.744348
8.437151, -0.166073, 0.745710, 0.745710
8.443324, -0.016201, 0.747072, 0.747072
8.454834, 0.133528, 0.748424, 0.748424
8.461728, 0.283558, 0.749759, 0.749759
8.466414, 0.433683, 0.751067, 0.751067
8.470512, 0.583788, 0.752341, 0.752341
8.469588, 0.733749, 0.753574, 0.753574
8.496709, 0.881478, 0.754757, 0.754757
8.502632, 1.031516, 0.755885, 0.755885
8.514432, 1.181232, 0.756951, 0.756951
8.490462, 1.328173, 0.757949, 0.757949
8.468789, 1.476527, 0.758873, 0.758873
8.436930, 1.622665, 0.759720, 0.759720
8.406718, 1.769205, 0.760483, 0.760483
8.382814, 1.917264, 0.761159, 0.761159
8.351456, 2.064111, 0.761745, 0.761745
8.320239, 2.210687, 0.762237, 0.762237
8.274066, 2.353023, 0.762633, 0.762633
8.269584, 2.503124, 0.762930, 0.762930
8.247358, 2.651669, 0.763127, 0.763127
8.214366, 2.798191, 0.763223, 0.763223
8.174152, 2.942882, 0.763216, 0.763216
8.111858, 3.078017, 0.763107, 0.763107
7.994816, 3.170979, 0.762896, 0.762896
7.859098, 3.235022, 0.762583, 0.762583
7.715911, 3.276404, 0.762169, 0.762169
7.566462, 3.285380, 0.761655, 0.761655
7.416308, 3.282644, 0.761044, 0.761044
7.266498, 3.289525, 0.760338, 0.760338
7.121999, 3.278803, 0.759538, 0.759538
6.983107, 3.228674, 0.758649, 0.758649
6.833436, 3.219760, 0.757672, 0.757672
6.687654, 3.187073, 0.756613, 0.756613
6.550996, 3.126137, 0.755473, 0.755473
6.402078, 3.106646, 0.754259, 0.754259
6.252431, 3.093863, 0.752973, 0.752973
6.102265, 3.090732, 0.751620, 0.751620
5.952083, 3.092769, 0.750205, 0.750205
5.802294, 3.082168, 0.748731, 0.748731
5.657556, 3.042808, 0.747204, 0.747204
5.511015, 3.009972, 0.745626, 0.745626
5.383606, 2.931650, 0.744000, 0.744000
5.283421, 2.820121, 0.742330, 0.742330
5.172440, 2.718992, 0.740613, 0.740613
5.062200, 2.620226, 0.738849, 0.738849
5.008677, 2.479948, 0.737030, 0.737030
4.966782, 2.335779, 0.735146, 0.735146
4.938156, 2.188403, 0.733180, 0.733180
4.931951, 2.038333, 0.731106, 0.731106
4.961372, 1.891220, 0.728888, 0.728888
4.981837, 1.742473, 0.726479, 0.726479
5.032245, 1.601943, 0.723816, 0.723816
5.078436, 1.459299, 0.720822, 0.720822
5.106821, 1.312210, 0.717401, 0.717401
5.115111, 1.162752, 0.713442, 0.713442
5.103987, 1.013212, 0.708818, 0.708818
5.079055, 0.865109, 0.703391, 0.703391
5.060022, 0.716122, 0.697016, 0.697016
5.013178, 0.573832, 0.689551, 0.689551
4.941417, 0.443242, 0.680866, 0.680866
4.845465, 0.329697, 0.670858, 0.670858
4.726325, 0.238285, 0.659462, 0.659462
4.600724, 0.155920, 0.646669, 0.646669
4.455330, 0.147800, 0.632535, 0.632535
4.306928, 0.131854, 0.617198, 0.617198
4.157713, 0.120224, 0.600882, 0.600882
4.008523, 0.132584, 0.583898, 0.583898
3.859156, 0.144253, 0.566642, 0.566642
3.708974, 0.143803, 0.549580, 0.549580
3.561298, 0.123692, 0.533233, 0.533233
3.417527, 0.080450, 0.518143, 0.518143
3.273201, 0.059820, 0.504852, 0.504852
3.125418, 0.070887, 0.493863, 0.493863
2.978988, 0.038568, 0.485607, 0.485607
2.836075, -0.007644, 0.480418, 0.480418
2.692442, -0.048680, 0.478504, 0.478504
2.542475, -0.040344, 0.479936, 0.479936
2.392570, -0.030956, 0.484641, 0.484641
2.243923, -0.051412, 0.492407, 0.492407
2.094211, -0.048706, 0.502901, 0.502901
1.946898, -0.022236, 0.515688, 0.515688
1.802083, 0.017382, 0.530264, 0.530264
1.657216, 0.056827, 0.546086, 0.546086
1.519212, 0.110928, 0.562609, 0.562609
1.388295, 0.183108, 0.579314, 0.579314
1.251033, 0.242317, 0.595733, 0.595733
1.125498, 0.324783, 0.611471, 0.611471
0.999918, 0.407173, 0.626216, 0.626216
0.872278, 0.486278, 0.639748, 0.639748
0.735559, 0.548466, 0.651930, 0.651930
0.600070, 0.613290, 0.662705, 0.662705
0.482267, 0.706141, 0.672088, 0.672088
0.356758, 0.788439, 0.680143, 0.680143
0.245521, 0.888653, 0.686978, 0.686978
0.117832, 0.964288, 0.692724, 0.692724
-0.011652, 1.039731, 0.697526, 0.697526
-0.140277, 1.117179, 0.701531, 0.701531
-0.270809, 1.191480, 0.704881, 0.704881
-0.402918, 1.262883, 0.707705, 0.707705
-0.529504, 1.342570, 0.710117, 0.710117
-0.659256, 1.410818, 0.712218, 0.712218
-0.799351, 1.458682, 0.714087, 0.714087
-0.929354, 1.533013, 0.715791, 0.715791
-1.065213, 1.596314, 0.717383, 0.717383
-1.197262, 1.665339, 0.718902, 0.718902
-1.342992, 1.701612, 0.720380, 0.720380
-1.485411, 1.747569, 0.721838, 0.721838
-1.610669, 1.830152, 0.723294, 0.723294
-1.715051, 1.938152, 0.724760, 0.724760
-1.846870, 2.008810, 0.726243, 0.726243
-1.991462, 2.047752, 0.727751, 0.727751
-2.130786, 2.102918, 0.729288, 0.729288
-2.272002, 2.153819, 0.730858, 0.730858
-2.415996, 2.196387, 0.732465, 0.732465
-2.558494, 2.243618, 0.734110, 0.734110
-2.689149, 2.315514, 0.735797, 0.735797
-2.828485, 2.352322, 0.737528, 0.737528
-2.965002, 2.395868, 0.739307, 0.739307
-3.095729, 2.465684, 0.741135, 0.741135
-3.241594, 2.499233, 0.743017, 0.743017
-3.385585, 2.533014, 0.744956, 0.744956
-3.518397, 2.603118, 0.746955, 0.746955
-3.653686, 2.668308, 0.749018, 0.749018
-3.793124, 2.720531, 0.751149, 0.751149
-3.943010, 2.729381, 0.753351, 0.753351
-4.091787, 2.749473, 0.755630, 0.755630
-4.241975, 2.747697, 0.757989, 0.757989
-4.391966, 2.755306, 0.760433, 0.760433
-4.538458, 2.787318, 0.762966, 0.762966
-4.685169, 2.819466, 0.765594, 0.765594
-4.826749, 2.868636, 0.768320, 0.768320
-4.968206, 2.919083, 0.771150, 0.771150
-5.112404, 2.960891, 0.774089, 0.774089
-5.253248, 3.012523, 0.777141, 0.777141
-5.397544, 3.052863, 0.780312, 0.780312
-5.538683, 3.102959, 0.783605, 0.783605
-5.675909, 3.163958, 0.787026, 0.787026
-5.810066, 3.231385, 0.790580, 0.790580
-5.948542, 3.288355, 0.794270, 0.794270
-6.094738, 3.300790, 0.798101, 0.798101
-6.244219, 3.286212, 0.802078, 0.802078
-6.394048, 3.283519, 0.806204, 0.806204
-6.542870, 3.301051, 0.810483, 0.810483
-6.691368, 3.322552, 0.814920, 0.814920
-6.839971, 3.343086, 0.819516, 0.819516
-6.988269, 3.365406, 0.824275, 0.824275
-7.137307, 3.363740, 0.829201, 0.829201
-7.284722, 3.335133, 0.834295, 0.834295
-7.431435, 3.319226, 0.839559, 0.839559
-7.578017, 3.333595, 0.844996, 0.844996
-7.722503, 3.300702, 0.850606, 0.850606
-7.870085, 3.328613, 0.856391, 0.856391
-8.017857, 3.352846, 0.862350, 0.862350
-8.161943, 3.310436, 0.868485, 0.868485
