# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.766543, 2.851135, 1.003042, 1.003042
-6.617029, 2.839951, 1.006380, 1.006380
-6.471035, 2.872713, 1.009756, 1.009756
-6.323450, 2.845127, 1.013165, 1.013165
-6.173748, 2.837129, 1.016603, 1.016603
-6.025186, 2.859218, 1.020063, 1.020063
-5.877653, 2.887224, 1.023542, 1.023542
-5.731124, 2.913763, 1.027033, 1.027033
-5.582120, 2.908080, 1.030534, 1.030534
-5.434104, 2.926497, 1.034038, 1.034038
-5.284356, 2.915021, 1.037543, 1.037543
-5.136553, 2.924189, 1.041044, 1.041044
-4.991185, 2.955752, 1.044537, 1.044537
-4.841077, 2.953627, 1.048019, 1.048019
-4.694580, 2.928092, 1.051487, 1.051487
-4.549928, 2.893676, 1.054938, 1.054938
-4.405047, 2.862979, 1.058369, 1.058369
-4.265993, 2.806191, 1.061779, 1.061779
-4.127041, 2.749157, 1.065165, 1.065165
-3.989658, 2.688486, 1.068526, 1.068526
-3.854347, 2.623310, 1.071861, 1.071861
-3.726916, 2.544398, 1.075168, 1.075168
-3.598589, 2.466510, 1.078448, 1.078448
-3.458943, 2.413114, 1.081701, 1.081701
-3.321772, 2.352724, 1.084926, 1.084926
-3.181414, 2.299867, 1.088123, 1.088123
-3.053534, 2.223088, 1.091295, 1.091295
-2.926049, 2.143759, 1.094441, 1.094441
-2.796056, 2.068515, 1.097563, 1.097563
-2.671186, 1.985161, 1.100663, 1.100663
-2.562761, 1.881717, 1.103743, 1.103743
-2.429937, 1.815519, 1.106804, 1.106804
-2.296052, 1.747640, 1.109849, 1.109849
-2.160865, 1.682204, 1.112881, 1.112881
-2.031245, 1.606438, 1.115901, 1.115901
-1.913649, 1.513180, 1.118914, 1.118914
-1.785180, 1.435632, 1.121921, 1.121921
-1.665985, 1.344368, 1.124925, 1.124925
-1.527043, 1.288296, 1.127929, 1.127929
-1.400273, 1.207994, 1.130937, 1.130937
-1.269727, 1.133716, 1.133951, 1.133951
-1.151330, 1.041340, 1.136973, 1.136973
-1.015612, 0.977100, 1.140007, 1.140007
-0.881487, 0.909588, 1.143054, 1.143054
-0.766420, 0.813203, 1.146118, 1.146118
-0.625727, 0.760601, 1.149201, 1.149201
-0.529506, 0.645499, 1.152304, 1.152304
-0.400912, 0.568681, 1.155429, 1.155429
-0.280437, 0.479044, 1.158578, 1.158578
-0.175767, 0.371372, 1.161752, 1.161752
-0.047506, 0.293407, 1.164951, 1.164951
0.074331, 0.205563, 1.168176, 1.168176
0.193487, 0.114237, 1.171426, 1.171426
0.305872, 0.014839, 1.174702, 1.174702
0.432091, -0.065820, 1.178003, 1.178003
0.571454, -0.121755, 1.181326, 1.181326
0.712101, -0.174221, 1.184671, 1.184671
0.852283, -0.222866, 1.188035, 1.188035
1.001625, -0.221199, 1.191414, 1.191414
1.149777, -0.198627, 1.194807, 1.194807
1.299692, -0.198883, 1.198208, 1.198208
1.448249, -0.219292, 1.201614, 1.201614
1.596248, -0.238770, 1.205019, 1.205019
1.745714, -0.228068, 1.208418, 1.208418
1.894699, -0.220071, 1.211805, 1.211805
2.044162, -0.217976, 1.215173, 1.215173
2.193786, -0.211994, 1.218515, 1.218515
2.342245, -0.231164, 1.221823, 1.221823
2.489645, -0.260023, 1.225090, 1.225090
2.637744, -0.259129, 1.228307, 1.228307
2.787205, -0.251612, 1.231464, 1.231464
2.937277, -0.248201, 1.234552, 1.234552
3.086829, -0.234840, 1.237562, 1.237562
3.233524, -0.256206, 1.240482, 1.240482
3.369253, -0.214109, 1.243302, 1.243302
3.512824, -0.198626, 1.246011, 1.246011
3.662190, -0.191212, 1.248597, 1.248597
3.807542, -0.155455, 1.251049, 1.251049
3.954911, -0.128924, 1.253355, 1.253355
4.103646, -0.108030, 1.255504, 1.255504
4.236586, -0.049100, 1.257481, 1.257481
4.341638, 0.054972, 1.259276, 1.259276
4.418629, 0.183918, 1.260876, 1.260876
4.487877, 0.317209, 1.262268, 1.262268
4.517975, 0.463504, 1.263441, 1.263441
4.536395, 0.612514, 1.264381, 1.264381
4.524647, 0.759904, 1.265077, 1.265077
4.505488, 0.906783, 1.265517, 1.265517
4.517809, 1.056431, 1.265688, 1.265688
4.524335, 1.206491, 1.265580, 1.265580
4.528768, 1.356352, 1.265181, 1.265181
4.509603, 1.505134, 1.264481, 1.264481
4.472102, 1.650432, 1.263469, 1.263469
4.459851, 1.800099, 1.262135, 1.262135
4.465052, 1.950193, 1.260470, 1.260470
4.453358, 2.099707, 1.258465, 1.258465
4.492686, 2.244600, 1.256113, 1.256113
4.554206, 2.381485, 1.253405, 1.253405
4.637758, 2.505564, 1.250334, 1.250334
4.753604, 2.597220, 1.246895, 1.246895
4.890797, 2.655961, 1.243083, 1.243083
5.023932, 2.717948, 1.238893, 1.238893
5.173218, 2.733987, 1.234321, 1.234321
5.321795, 2.753262, 1.229364, 1.229364
5.468823, 2.759265, 1.224022, 1.224022
5.617472, 2.741765, 1.218293, 1.218293
5.767630, 2.738028, 1.212177, 1.212177
5.917424, 2.728375, 1.205676, 1.205676
6.064989, 2.741594, 1.198791, 1.198791
6.208519, 2.785202, 1.191525, 1.191525
6.354393, 2.817483, 1.183883, 1.183883
6.502251, 2.843420, 1.175871, 1.175871
6.651235, 2.860003, 1.167493, 1.167493
6.799167, 2.841740, 1.158757, 1.158757
6.946666, 2.813394, 1.149672, 1.149672
7.090033, 2.769861, 1.140248, 1.140248
7.227448, 2.709587, 1.130493, 1.130493
7.353869, 2.629202, 1.120420, 1.120420
7.450098, 2.516262, 1.110040, 1.110040
7.521576, 2.384772, 1.099368, 1.099368
7.557790, 2.241315, 1.088416, 1.088416
7.566111, 2.091443, 1.077201, 1.077201
7.573749, 1.941659, 1.065738, 1.065738
7.584309, 1.792457, 1.054044, 1.054044
7.578010, 1.642677, 1.042136, 1.042136
7.591749, 1.493216, 1.030032, 1.030032
7.616422, 1.345059, 1.017753, 1.017753
7.636466, 1.196231, 1.005316, 1.005316
7.647837, 1.046461, 0.992743, 0.992743
7.661762, 0.897070, 0.980054, 0.980054
7.635963, 0.749097, 0.967271, 0.967271
7.645470, 0.599386, 0.954415, 0.954415
7.650790, 0.449287, 0.941509, 0.941509
7.625162, 0.301762, 0.928574, 0.928574
7.610483, 0.152479, 0.915634, 0.915634
7.595231, 0.003071, 0.902712, 0.902712
7.586999, -0.146815, 0.889830, 0.889830
7.580990, -0.296897, 0.877011, 0.877011
7.562381, -0.445670, 0.864279, 0.864279
7.535745, -0.593490, 0.851656, 0.851656
7.530271, -0.742061, 0.839166, 0.839166
7.536178, -0.891826, 0.826831, 0.826831
7.532952, -1.041990, 0.814673, 0.814673
7.530677, -1.192175, 0.802715, 0.802715
7.514802, -1.340827, 0.790978, 0.790978
7.464565, -1.480705, 0.779484, 0.779484
7.380000, -1.603973, 0.768252, 0.768252
7.259023, -1.682942, 0.757304, 0.757304
7.116017, -1.728885, 0.746658, 0.746658
6.969092, -1.757296, 0.736334, 0.736334
6.820025, -1.775742, 0.726349, 0.726349
6.671613, -1.798740, 0.716720, 0.716720
6.521762, -1.804791, 0.707465, 0.707465
6.372124, -1.817205, 0.698597, 0.698597
6.222136, -1.811976, 0.690132, 0.690132
6.071948, -1.813196, 0.682083, 0.682083
5.921746, -1.813994, 0.674463, 0.674463
5.771598, -1.817378, 0.667283, 0.667283
5.621859, -1.826884, 0.660553, 0.660553
5.472015, -1.816498, 0.654282, 0.654282
5.322283, -1.809008, 0.648479, 0.648479
5.173252, -1.826031, 0.646038, 0.646038
5.025696, -1.846392, 0.646038, 0.646038
4.876504, -1.844687, 0.646038, 0.646038
4.727823, -1.859157, 0.646038, 0.646038
4.578065, -1.859774, 0.646038, 0.646038
4.428476, -1.872949, 0.646038, 0.646038
4.280655, -1.895076, 0.646038, 0.646038
4.133222, -1.915484, 0.646038, 0.646038
3.983773, -1.904154, 0.646038, 0.646038
3.834767, -1.902628, 0.646038, 0.646038
3.685024, -1.913147, 0.646038, 0.646038
