# x_m, y_m, w_tr_right_m, w_tr_left_m
-5.075123, 2.830327, 0.950389, 0.950389
-5.223459, 2.854145, 0.954135, 0.954135
-5.372062, 2.865594, 0.957687, 0.957687
-5.519334, 2.836636, 0.961050, 0.961050
-5.668881, 2.827583, 0.964231, 0.964231
-5.818785, 2.837592, 0.967238, 0.967238
-5.968741, 2.846031, 0.970077, 0.970077
-6.117968, 2.859654, 0.972754, 0.972754
-6.267106, 2.868472, 0.975279, 0.975279
-6.416035, 2.850964, 0.977658, 0.977658
-6.565290, 2.849271, 0.979898, 0.979898
-6.715402, 2.850562, 0.982007, 0.982007
-6.861989, 2.821192, 0.983993, 0.983993
-7.011065, 2.822142, 0.985863, 0.985863
-7.161261, 2.821416, 0.987624, 0.987624
-7.309821, 2.804011, 0.989284, 0.989284
-7.443348, 2.740268, 0.990850, 0.990850
-7.546913, 2.632384, 0.992329, 0.992329
-7.599370, 2.494701, 0.993728, 0.993728
-7.635995, 2.348992, 0.995052, 0.995052
-7.621252, 2.201866, 0.996309, 0.996309
-7.572961, 2.059942, 0.997504, 0.997504
-7.507045, 1.925073, 0.998644, 0.998644
-7.441242, 1.790012, 0.999732, 0.999732
-7.363511, 1.661508, 1.000775, 1.000775
-7.277637, 1.538305, 1.001777, 1.001777
-7.225944, 1.397236, 1.002742, 1.002742
-7.150442, 1.267389, 1.003674, 1.003674
-7.055098, 1.151281, 1.004576, 1.004576
-6.955604, 1.038767, 1.005453, 1.005453
-6.848949, 0.932978, 1.006306, 1.006306
-6.759856, 0.815274, 1.007137, 1.007137
-6.698127, 0.681405, 1.007949, 1.007949
-6.610000, 0.561634, 1.008743, 1.008743
-6.536996, 0.430521, 1.009520, 1.009520
-6.486117, 0.290533, 1.010279, 1.010279
-6.479313, 0.141049, 1.011022, 1.011022
-6.537495, 0.003506, 1.011747, 1.011747
-6.629873, -0.114975, 1.012453, 1.012453
-6.717397, -0.236952, 1.013136, 1.013136
-6.799965, -0.362421, 1.013794, 1.013794
-6.888532, -0.483744, 1.014421, 1.014421
-6.986124, -0.597660, 1.015009, 1.015009
-7.076650, -0.716443, 1.015550, 1.015550
-7.151701, -0.846555, 1.016029, 1.016029
-7.242616, -0.964253, 1.016431, 1.016431
-7.325062, -1.086583, 1.016733, 1.016733
-7.389614, -1.222139, 1.016905, 1.016905
-7.441307, -1.361961, 1.016912, 1.016912
