# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.311128, -2.162095, 0.963496, 0.963496
-6.161793, -2.148017, 0.970483, 0.970483
-6.012337, -2.135296, 0.977508, 0.977508
-5.862929, -2.122015, 0.984556, 0.984556
-5.715544, -2.094295, 0.991616, 0.991616
-5.565951, -2.084103, 0.998675, 0.998675
-5.416369, -2.094107, 1.005720, 1.005720
-5.266500, -2.100129, 1.012739, 1.012739
-5.116625, -2.106166, 1.019721, 1.019721
-4.967378, -2.120875, 1.026653, 1.026653
-4.817665, -2.115407, 1.033525, 1.033525
-4.667767, -2.110062, 1.040325, 1.040325
-4.518879, -2.126246, 1.047042, 1.047042
-4.371379, -2.104820, 1.053667, 1.053667
-4.225967, -2.132755, 1.060189, 1.060189
-4.078245, -2.119639, 1.066598, 1.066598
-3.928993, -2.105241, 1.072887, 1.072887
-3.779319, -2.110317, 1.079045, 1.079045
-3.631448, -2.134352, 1.085066, 1.085066
-3.482014, -2.142670, 1.090941, 1.090941
-3.332168, -2.137596, 1.096664, 1.096664
-3.182899, -2.123335, 1.102227, 1.102227
-3.033286, -2.113211, 1.107625, 1.107625
-2.883486, -2.105544, 1.112851, 1.112851
-2.733805, -2.095904, 1.117902, 1.117902
-2.584098, -2.099354, 1.122772, 1.122772
-2.434287, -2.106763, 1.127458, 1.127458
-2.285734, -2.091791, 1.131955, 1.131955
-2.137350, -2.069926, 1.136261, 1.136261
-1.988110, -2.055533, 1.140373, 1.140373
-1.838471, -2.058190, 1.144290, 1.144290
-1.688866, -2.054237, 1.148009, 1.148009
-1.539032, -2.051378, 1.151529, 1.151529
-1.389779, -2.063867, 1.154849, 1.154849
-1.240341, -2.075498, 1.157970, 1.157970
-1.090430, -2.076555, 1.160892, 1.160892
-0.941013, -2.065319, 1.163613, 1.163613
-0.792269, -2.046075, 1.166137, 1.166137
-0.644006, -2.023388, 1.168462, 1.168462
-0.495016, -2.007801, 1.170592, 1.170592
-0.345206, -2.007109, 1.172526, 1.172526
-0.195342, -2.013418, 1.174268, 1.174268
-0.046002, -2.026093, 1.175819, 1.175819
0.103272, -2.030057, 1.177182, 1.177182
0.252043, -2.037732, 1.178359, 1.178359
0.400826, -2.055007, 1.179352, 1.179352
0.550661, -2.058252, 1.180164, 1.180164
0.699523, -2.044077, 1.180798, 1.180798
0.847985, -2.023873, 1.181256, 1.181256
0.997532, -2.012317, 1.181541, 1.181541
1.147311, -2.004964, 1.181656, 1.181656
1.297281, -2.002392, 1.181604, 1.181604
1.447168, -1.998034, 1.181387, 1.181387
1.597002, -1.993403, 1.181008, 1.181008
1.746853, -1.990510, 1.180468, 1.180468
1.896442, -1.979490, 1.179772, 1.179772
2.046092, -1.973745, 1.178919, 1.178919
2.196006, -1.978710, 1.177914, 1.177914
2.345858, -1.978147, 1.176757, 1.176757
2.495479, -1.967604, 1.175449, 1.175449
2.644871, -1.964249, 1.173993, 1.173993
2.794286, -1.976061, 1.172390, 1.172390
2.944244, -1.979425, 1.170640, 1.170640
3.093956, -1.977944, 1.168745, 1.168745
3.243321, -1.965322, 1.166704, 1.166704
3.393007, -1.967215, 1.164517, 1.164517
3.541729, -1.986537, 1.162186, 1.162186
3.689905, -2.009789, 1.159709, 1.159709
3.838741, -2.027692, 1.157085, 1.157085
3.988500, -2.032519, 1.154315, 1.154315
4.138121, -2.022438, 1.151397, 1.151397
4.287302, -2.007008, 1.148330, 1.148330
4.436977, -1.997292, 1.145112, 1.145112
4.586354, -1.986668, 1.141741, 1.141741
4.733799, -1.959641, 1.138216, 1.138216
4.883169, -1.947352, 1.134535, 1.134535
5.033118, -1.950470, 1.130696, 1.130696
5.182850, -1.956504, 1.126695, 1.126695
5.332389, -1.944836, 1.122531, 1.122531
5.481727, -1.930996, 1.118201, 1.118201
5.631384, -1.922430, 1.113703, 1.113703
5.779398, -1.898513, 1.109033, 1.109033
5.929112, -1.889353, 1.104189, 1.104189
6.078961, -1.882836, 1.099169, 1.099169
6.228438, -1.870383, 1.093969, 1.093969
6.377660, -1.855194, 1.088588, 1.088588
6.526124, -1.833805, 1.083023, 1.083023
6.674613, -1.812601, 1.077271, 1.077271
6.823915, -1.798184, 1.071330, 1.071330
6.972802, -1.779973, 1.065198, 1.065198
7.122586, -1.772080, 1.058874, 1.058874
7.271077, -1.750996, 1.052355, 1.052355
7.414595, -1.707611, 1.045642, 1.045642
7.545774, -1.635179, 1.038732, 1.038732
7.658516, -1.536510, 1.031625, 1.031625
7.750192, -1.417998, 1.024322, 1.024322
7.814795, -1.282876, 1.016821, 1.016821
7.860919, -1.140242, 1.009124, 1.009124
7.899417, -0.995285, 1.001232, 1.001232
7.932019, -0.848886, 0.993147, 0.993147
7.961443, -0.701806, 0.984869, 0.984869
7.978112, -0.552816, 0.976403, 0.976403
7.982499, -0.402943, 0.967751, 0.967751
7.992594, -0.253318, 0.958916, 0.958916
8.022058, -0.106461, 0.949903, 0.949903
8.052185, 0.040473, 0.940717, 0.940717
8.055759, 0.189954, 0.931362, 0.931362
8.073776, 0.338576, 0.921845, 0.921845
8.086227, 0.487978, 0.912173, 0.912173
8.089401, 0.637900, 0.902353, 0.902353
8.085555, 0.787822, 0.892392, 0.892392
8.095605, 0.937258, 0.882299, 0.882299
8.111136, 1.086447, 0.872082, 0.872082
8.115956, 1.236235, 0.861753, 0.861753
8.119993, 1.386169, 0.851320, 0.851320
8.117494, 1.536078, 0.840794, 0.840794
8.106488, 1.685626, 0.830187, 0.830187
8.087062, 1.834307, 0.819512, 0.819512
8.063772, 1.982482, 0.808779, 0.808779
8.024046, 2.126704, 0.798003, 0.798003
7.953840, 2.258085, 0.787196, 0.787196
7.853192, 2.367891, 0.776374, 0.776374
7.728222, 2.448867, 0.765549, 0.765549
7.587618, 2.498627, 0.754737, 0.754737
7.440049, 2.523247, 0.743953, 0.743953
7.290451, 2.525818, 0.733212, 0.733212
7.141165, 2.512548, 0.722530, 0.722530
6.992845, 2.490440, 0.711924, 0.711924
6.846318, 2.458847, 0.701409, 0.701409
6.699063, 2.431088, 0.691001, 0.691001
6.549822, 2.418461, 0.680719, 0.680719
6.399879, 2.416938, 0.670577, 0.670577
6.250418, 2.408081, 0.660592, 0.660592
6.103866, 2.378297, 0.650783, 0.650783
5.956832, 2.350737, 0.641164, 0.641164
5.807358, 2.340065, 0.631752, 0.631752
5.658163, 2.326639, 0.622565, 0.622565
5.509938, 2.303772, 0.613617, 0.613617
5.363875, 2.270565, 0.604925, 0.604925
