# x_m, y_m, w_tr_right_m, w_tr_left_m
-8.974734, -4.685058, 0.933268, 0.933268
-8.827402, -4.656378, 0.936686, 0.936686
-8.678045, -4.647914, 0.940005, 0.940005
-8.527998, -4.644684, 0.943225, 0.943225
-8.378112, -4.643714, 0.946344, 0.946344
-8.228573, -4.656649, 0.949360, 0.949360
-8.079540, -4.639217, 0.952274, 0.952274
-7.929913, -4.628105, 0.955083, 0.955083
-7.781288, -4.609910, 0.957787, 0.957787
-7.633964, -4.591106, 0.960386, 0.960386
-7.486161, -4.617255, 0.962878, 0.962878
-7.336795, -4.606418, 0.965264, 0.965264
-7.187115, -4.608607, 0.967542, 0.967542
-7.037780, -4.605668, 0.969714, 0.969714
-6.889221, -4.593833, 0.971778, 0.971778
-6.741517, -4.620535, 0.973735, 0.973735
-6.593420, -4.644952, 0.975584, 0.975584
-6.444098, -4.650644, 0.977327, 0.977327
-6.294979, -4.637244, 0.978963, 0.978963
-6.147118, -4.611661, 0.979148, 0.979148
-5.997862, -4.595788, 0.979148, 0.979148
-5.848221, -4.584242, 0.979148, 0.979148
-5.698305, -4.577985, 0.979148, 0.979148
-5.552889, -4.556312, 0.979148, 0.979148
-5.418735, -4.488992, 0.979148, 0.979148
-5.270962, -4.464555, 0.979148, 0.979148
-5.122104, -4.470407, 0.979148, 0.979148
-4.976186, -4.459215, 0.979148, 0.979148
-4.834156, -4.410706, 0.979148, 0.979148
-4.690489, -4.367241, 0.979148, 0.979148
-4.545130, -4.329940, 0.979148, 0.979148
-4.399611, -4.293157, 0.979148, 0.979148
-4.254793, -4.253836, 0.979148, 0.979148
-4.111561, -4.208960, 0.979148, 0.979148
-3.969825, -4.159571, 0.979148, 0.979148
-3.837852, -4.089986, 0.979148, 0.979148
-3.707929, -4.015604, 0.979148, 0.979148
-3.570164, -3.956021, 0.979148, 0.979148
-3.433087, -3.894871, 0.979148, 0.979148
-3.303321, -3.820153, 0.979148, 0.979148
-3.171013, -3.751371, 0.979148, 0.979148
-3.030812, -3.699005, 0.979148, 0.979148
-2.906839, -3.614387, 0.979148, 0.979148
-2.780666, -3.533116, 0.979148, 0.979148
-2.650015, -3.459719, 0.979148, 0.979148
-2.516072, -3.392181, 0.979148, 0.979148
-2.387290, -3.315080, 0.979148, 0.979148
