# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.834994, -2.832514, 0.782881, 0.782881
-6.685837, -2.848206, 0.786808, 0.786808
-6.536461, -2.861188, 0.790556, 0.790556
-6.386596, -2.867017, 0.794124, 0.794124
-6.236692, -2.867099, 0.797512, 0.797512
-6.086811, -2.861621, 0.800720, 0.800720
-5.936876, -2.858288, 0.803747, 0.803747
-5.787014, -2.852551, 0.806593, 0.806593
-5.637103, -2.856129, 0.809257, 0.809257
-5.487216, -2.860018, 0.811741, 0.811741
-5.337488, -2.852668, 0.814044, 0.814044
-5.188473, -2.835842, 0.816166, 0.816166
-5.039600, -2.817723, 0.818110, 0.818110
-4.890381, -2.802665, 0.819875, 0.819875
-4.741031, -2.788927, 0.821464, 0.821464
-4.591838, -2.773590, 0.822878, 0.822878
-4.442277, -2.762471, 0.824119, 0.824119
-4.292491, -2.754949, 0.825190, 0.825190
-4.143001, -2.743039, 0.826093, 0.826093
-3.993463, -2.733654, 0.826831, 0.826831
-3.843530, -2.730181, 0.827407, 0.827407
-3.693780, -2.722165, 0.827825, 0.827825
-3.544451, -2.708381, 0.828088, 0.828088
-3.395805, -2.688492, 0.828202, 0.828202
-3.247010, -2.670830, 0.828169, 0.828169
-3.101315, -2.635299, 0.827995, 0.827995
-2.956567, -2.596028, 0.827684, 0.827684
-2.812160, -2.555537, 0.827242, 0.827242
-2.670398, -2.506939, 0.826673, 0.826673
-2.530362, -2.453234, 0.825983, 0.825983
-2.392752, -2.393656, 0.825179, 0.825179
-2.255199, -2.333879, 0.824265, 0.824265
-2.119268, -2.270669, 0.823248, 0.823248
-1.986681, -2.200676, 0.822134, 0.822134
-1.850873, -2.137041, 0.820929, 0.820929
-1.713553, -2.076775, 0.819641, 0.819641
-1.575583, -2.017967, 0.818274, 0.818274
-1.439995, -1.953931, 0.816838, 0.816838
-1.300771, -1.898316, 0.815337, 0.815337
-1.162307, -1.840684, 0.813779, 0.813779
-1.024704, -1.781028, 0.812171, 0.812171
-0.888256, -1.718783, 0.810520, 0.810520
-0.752726, -1.654550, 0.808834, 0.808834
-0.617364, -1.589964, 0.807119, 0.807119
-0.482873, -1.523596, 0.805382, 0.805382
-0.346893, -1.460359, 0.803631, 0.803631
-0.207215, -1.405791, 0.801873, 0.801873
-0.066995, -1.352568, 0.800115, 0.800115
0.072916, -1.298546, 0.798363, 0.798363
0.212372, -1.243353, 0.796626, 0.796626
0.351667, -1.187760, 0.794909, 0.794909
0.489280, -1.128187, 0.793221, 0.793221
0.626524, -1.067707, 0.791566, 0.791566
0.766603, -1.014202, 0.789953, 0.789953
0.909290, -0.968037, 0.788388, 0.788388
1.049948, -0.916142, 0.786877, 0.786877
1.188209, -0.858091, 0.785427, 0.785427
1.327152, -0.801699, 0.784043, 0.784043
1.464678, -0.741859, 0.782731, 0.782731
1.600809, -0.678953, 0.781498, 0.781498
1.734343, -0.610706, 0.780349, 0.780349
1.867227, -0.541164, 0.779288, 0.779288
1.999008, -0.469554, 0.778323, 0.778323
2.131813, -0.399943, 0.777456, 0.777456
2.268916, -0.339359, 0.776694, 0.776694
2.409859, -0.288192, 0.776041, 0.776041
2.552059, -0.240511, 0.775500, 0.775500
2.694944, -0.194944, 0.775076, 0.775076
2.840629, -0.159611, 0.774773, 0.774773
2.989029, -0.138177, 0.774593, 0.774593
3.138140, -0.122127, 0.774541, 0.774541
3.287104, -0.105276, 0.774619, 0.774619
3.436844, -0.096925, 0.774830, 0.774830
3.586522, -0.087777, 0.775177, 0.775177
3.736031, -0.075892, 0.775660, 0.775660
3.885827, -0.069089, 0.776283, 0.776283
4.035793, -0.067535, 0.777046, 0.777046
4.185718, -0.066625, 0.777951, 0.777951
4.335161, -0.079249, 0.778999, 0.778999
4.484137, -0.096383, 0.780190, 0.780190
4.632370, -0.119119, 0.781525, 0.781525
4.780560, -0.142159, 0.783004, 0.783004
4.927571, -0.171330, 0.784626, 0.784626
5.074264, -0.202544, 0.786391, 0.786391
5.221279, -0.232217, 0.788298, 0.788298
5.369232, -0.256788, 0.790346, 0.790346
5.517106, -0.281622, 0.792534, 0.792534
5.663642, -0.313528, 0.794860, 0.794860
5.806817, -0.357068, 0.797321, 0.797321
5.941517, -0.422174, 0.799916, 0.799916
6.059284, -0.513910, 0.802643, 0.802643
6.152136, -0.631095, 0.805498, 0.805498
6.215265, -0.766636, 0.808479, 0.808479
6.243056, -0.913977, 0.811582, 0.811582
6.259680, -1.062916, 0.814804, 0.814804
6.260799, -1.212694, 0.818142, 0.818142
6.250926, -1.362338, 0.821590, 0.821590
6.236321, -1.511590, 0.825146, 0.825146
6.218283, -1.660479, 0.828805, 0.828805
6.205936, -1.809934, 0.832563, 0.832563
6.197600, -1.959683, 0.836414, 0.836414
6.190162, -2.109477, 0.840354, 0.840354
6.179438, -2.259056, 0.844378, 0.844378
6.166525, -2.408477, 0.848481, 0.848481
6.159612, -2.558240, 0.852657, 0.852657
6.163317, -2.708103, 0.856901, 0.856901
6.173951, -2.857696, 0.861208, 0.861208
6.191854, -3.006566, 0.865572, 0.865572
6.225495, -3.152605, 0.869988, 0.869988
6.277121, -3.293151, 0.874448, 0.874448
6.350234, -3.423541, 0.878948, 0.878948
6.444945, -3.539322, 0.883482, 0.883482
6.557051, -3.638416, 0.888043, 0.888043
6.683941, -3.717785, 0.892626, 0.892626
6.822180, -3.775498, 0.897224, 0.897224
6.964899, -3.821438, 0.901832, 0.901832
7.111068, -3.854850, 0.906443, 0.906443
7.258557, -3.882068, 0.911051, 0.911051
7.405943, -3.909846, 0.915651, 0.915651
7.553202, -3.938280, 0.920236, 0.920236
7.700645, -3.965728, 0.924800, 0.924800
7.848482, -3.990990, 0.929338, 0.929338
7.996605, -4.014517, 0.933843, 0.933843
8.144962, -4.036523, 0.938310, 0.938310
8.293234, -4.059072, 0.942733, 0.942733
8.442022, -4.077806, 0.947107, 0.947107
8.591569, -4.087208, 0.951426, 0.951426
