# x_m, y_m, w_tr_right_m, w_tr_left_m
-3.436536, -1.935634, 0.939019, 0.939019
-3.287902, -1.916340, 0.937724, 0.937724
-3.144591, -1.872564, 0.936472, 0.936472
-2.996365, -1.850742, 0.935267, 0.935267
-2.848789, -1.824581, 0.934113, 0.934113
-2.706919, -1.776586, 0.933013, 0.933013
-2.575121, -1.705553, 0.931973, 0.931973
-2.443334, -1.634166, 0.930996, 0.930996
-2.304743, -1.577372, 0.930084, 0.930084
-2.163526, -1.527190, 0.929240, 0.929240
-2.021512, -1.479275, 0.928467, 0.928467
-1.890077, -1.408113, 0.927766, 0.927766
-1.744292, -1.383084, 0.927140, 0.927140
-1.596919, -1.356421, 0.926589, 0.926589
-1.450831, -1.322978, 0.926114, 0.926114
-1.305467, -1.286476, 0.925714, 0.925714
-1.161534, -1.244758, 0.925390, 0.925390
-1.033491, -1.169555, 0.925141, 0.925141
-0.909243, -1.085741, 0.924964, 0.924964
-0.779444, -1.011048, 0.924859, 0.924859
-0.644708, -0.945532, 0.924822, 0.924822
-0.505526, -0.890203, 0.924850, 0.924850
-0.367458, -0.832067, 0.924940, 0.924940
-0.228489, -0.776066, 0.925088, 0.925088
-0.088718, -0.721955, 0.925288, 0.925288
0.049630, -0.664355, 0.925535, 0.925535
0.188912, -0.609110, 0.925824, 0.925824
0.331810, -0.564412, 0.926148, 0.926148
0.475345, -0.521385, 0.926500, 0.926500
0.615267, -0.468132, 0.926873, 0.926873
0.756512, -0.418881, 0.927259, 0.927259
0.901315, -0.380279, 0.927649, 0.927649
1.045816, -0.340622, 0.928035, 0.928035
1.191074, -0.304271, 0.928408, 0.928408
1.337969, -0.274501, 0.928758, 0.928758
1.481742, -0.233927, 0.929075, 0.929075
1.625045, -0.191651, 0.929349, 0.929349
1.771985, -0.162110, 0.929569, 0.929569
1.919579, -0.136310, 0.929725, 0.929725
2.068511, -0.126250, 0.929806, 0.929806
2.218153, -0.125278, 0.929800, 0.929800
2.367018, -0.109041, 0.929696, 0.929696
2.515672, -0.093756, 0.929483, 0.929483
2.665187, -0.087234, 0.929150, 0.929150
2.814337, -0.073253, 0.928684, 0.928684
2.962571, -0.080649, 0.928075, 0.928075
3.106719, -0.121274, 0.927311, 0.927311
